codigo_curso,nombre_curso,semestre_pensum,pensum,tipo_curso,creditos,estado_curso
028,Social Humanistica 1,1,2016-58,teorico,4,vigente
119,Tecnica Complementaria 1,1,2016-58,teorico,3,vigente
169,Matematica Basica 1,1,2016-58,teorico,7,vigente
177,Deportes 1,1,2016-58,teorico,1,vigente
216,Quimica 1,1,2016-58,teorico,3,vigente
2666,Orientacion y Liderazgo,1,2016-58,teorico,1,vigente
2792,Idioma Tecnico 1,1,2016-58,teorico,2,vigente
029,Social Humanistica 2,2,2016-58,teorico,4,vigente
072,Fisica Basica,2,2016-58,teorico,5,vigente
170,Matematica Basica 2,2,2016-58,teorico,7,vigente
178,Deportes 2,2,2016-58,teorico,2,vigente
2667,Tecnicas de Investigacion y Estudio,2,2016-58,teorico,3,vigente
2793,Idioma Tecnico 2,2,2016-58,teorico,2,vigente
146,Fisica 1,3,2016-58,teorico,6,vigente
290,Matematica Intermedia 1,3,2016-58,teorico,10,vigente
2794,Idioma Tecnico 3,3,2016-58,teorico,2,vigente
2795,Matematica de Computo 1,3,2016-58,teorico,5,vigente
2796,Introduccion a la Programacion y Computacion 1,3,2016-58,mixto,4,vigente
2797,Logica de Sistemas,3,2016-58,mixto,2,vigente
085,Logica,4,2016-58,teorico,3,vigente
147,Fisica 2,4,2016-58,teorico,6,vigente
291,Matematica Intermedia 2,4,2016-58,teorico,5,vigente
292,Matematica Intermedia 3,4,2016-58,teorico,5,vigente
949,Estadistica 1,4,2016-58,teorico,5,vigente
2798,Lenguajes Formales y de Programacion,4,2016-58,mixto,3,vigente
2799,Matematica de Computo 2,4,2016-58,teorico,5,vigente
2800,Introduccion a la Programacion y Computacion 2,4,2016-58,mixto,5,vigente
2801,Idioma Tecnico 4,4,2016-58,teorico,2,vigente
077,Filosofia de la Ciencia,5,2016-58,teorico,3,vigente
094,Ecologia,5,2016-58,teorico,3,vigente
673,Matematica Aplicada 1,5,2016-58,teorico,6,vigente
674,Matematica Aplicada 3,5,2016-58,teorico,5,vigente
694,Contabilidad 1,5,2016-58,teorico,3,vigente
2802,Analisis Probabilistico,5,2016-58,mixto,4,vigente
2803,Organizacion de Lenguajes y Compiladores 1,5,2016-58,mixto,4,vigente
2804,Organizacion Computacional,5,2016-58,mixto,3,vigente
2805,Estructura de Datos,5,2016-58,teorico,5,vigente
2806,Principios De Metrologia,5,2016-58,teorico,3,vigente
2807,Practica Inicial TI,5,2016-58,practico,0,vigente
670,Ingenieria Electrica 1,6,2016-58,teorico,5,vigente
685,Investigacion de Operaciones 1,6,2016-58,teorico,5,vigente
779,Contabilidad 2,6,2016-58,teorico,3,vigente
