codigo_curso,nombre_curso,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,observaciones
028,Social Humanistica 1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
119,Tecnica Complementaria 1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,No,0,bajo,Sin cursos dependientes identificados en el pensum PDF.
169,Matematica Basica 1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,Si,Si,2,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
177,Deportes 1,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
216,Quimica 1,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2666,Orientacion y Liderazgo,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,No,0,bajo,Sin cursos dependientes identificados en el pensum PDF.
2792,Idioma Tecnico 1,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
029,Social Humanistica 2,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,Si,Si,2,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
072,Fisica Basica,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
170,Matematica Basica 2,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,Si,Si,6,alto,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
178,Deportes 2,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,No,0,bajo,Sin cursos dependientes identificados en el pensum PDF.
2667,Tecnicas de Investigacion y Estudio,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2793,Idioma Tecnico 2,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
146,Fisica 1,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
290,Matematica Intermedia 1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,Si,Si,5,alto,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2794,Idioma Tecnico 3,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,Si,1,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2795,Matematica de Computo 1,Ciencias de la Computacion,teorico,No,bajo,Si,Si,Si,3,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2796,Introduccion a la Programacion y Computacion 1,Desarrollo de Software,mixto,Si,alto,Si,Si,Si,4,alto,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
2797,Logica de Sistemas,Metodologia de Sistemas,mixto,No,medio,Si,Si,Si,3,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
085,Logica,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,No,0,bajo,Sin cursos dependientes identificados en el pensum PDF.
147,Fisica 2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,Si,Si,3,medio,Dependencias calculadas desde Pensum - Ciencias y Sistemas _ CICS App.pdf.
