periodo_academico,codigo_curso,nombre_curso,seccion,curso_aperturado,curso_cancelado,cupo_ofertado,estudiantes_asignados,estudiantes_con_nota,jornada,horario,salon,modalidad,fecha_inicio,fecha_fin,fuente_archivo,metodo_match,observaciones
S1,028,Social Humanistica 1,A,Si,No,20,2,2,vespertina,17:00-17:50,13,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF
S1,028,Social Humanistica 1,B,Si,No,20,3,3,vespertina,16:10-17:00,9,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,C,Si,No,20,5,5,vespertina,17:00-17:50,10,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,D,Si,No,20,2,2,,,,presencial,2024-01-22,2024-05-03,Asignaciones Sistemas 2024.xlsx,codigo_asignaciones,Seccion incorporada desde asignaciones 2024.
S1,028,Social Humanistica 1,E,Si,No,20,9,9,vespertina,13:40-14:30,6,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,F,Si,No,20,4,4,matutina,8:00-8:50,Salón de Proyecciones,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,072,Fisica Basica,A,Si,No,30,16,15,vespertina,14:30-15:20,Laboratorio de Física,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,072,Fisica Basica,C,Si,No,45,38,37,vespertina,17:50-18:40,Laboratorio de Física,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,077,Filosofia de la Ciencia,A,Si,No,30,18,15,vespertina,15:20-16:10,9,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,085,Logica,A,Si,No,45,40,38,vespertina,13:40-14:30,10,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,085,Logica,B,Si,No,20,14,13,vespertina,13:40-14:30,9,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,094,Ecologia,A,Si,No,20,6,5,nocturna,19:30-20:20,13,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,A,Si,No,20,13,13,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,B,Si,No,20,3,3,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo (Martes),presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
