codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024
028,Social Humanistica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,25.0,25.0,8.0,6.0,0.32,0.24,8.0,8.0,0.20833333333333334
029,Social Humanistica 2,2,Ciencias Basicas y Complementarias,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,35.0,32.0,8.0,6.0,0.25,0.1875,8.0,8.0,0.4375
072,Fisica Basica,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,110.0,106.0,30.0,27.0,0.2830188679245283,0.25471698113207547,30.0,30.0,0.6547368421052631
077,Filosofia de la Ciencia,5,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,18.0,15.0,3.0,4.0,0.2,0.26666666666666666,3.0,0.0,0.6
085,Logica,4,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,82.0,78.0,20.0,18.0,0.2564102564102564,0.23076923076923078,20.0,0.0,0.7264957264957266
094,Ecologia,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,True,4,1.0,oferta_continua,26.0,25.0,8.0,3.0,0.32,0.12,2.0,2.0,0.325
119,Tecnica Complementaria 1,1,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,36.0,36.0,10.0,11.0,0.2777777777777778,0.3055555555555556,10.0,0.0,0.36
146,Fisica 1,3,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,True,4,1.0,oferta_continua,119.0,109.0,36.0,17.0,0.3302752293577982,0.1559633027522936,7.0,7.0,0.5889194139194139
147,Fisica 2,4,Ciencias Basicas y Complementarias,Si,Si,3,medio,True,True,True,True,4,1.0,oferta_continua,112.0,107.0,36.0,21.0,0.3364485981308411,0.19626168224299065,6.0,6.0,0.6488461538461539
169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,269.0,261.0,76.0,41.0,0.29118773946360155,0.15708812260536398,11.0,11.0,0.6715832943743182
170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,Si,Si,6,alto,True,True,True,True,4,1.0,oferta_continua,151.0,145.0,42.0,23.0,0.2896551724137931,0.15862068965517243,8.0,8.0,0.6697916666666667
177,Deportes 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,11.0,11.0,3.0,0.0,0.2727272727272727,0.0,3.0,3.0,0.1375
178,Deportes 2,2,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,10.0,9.0,3.0,2.0,0.3333333333333333,0.2222222222222222,3.0,0.0,0.16666666666666666
216,Quimica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,45.0,45.0,16.0,12.0,0.35555555555555557,0.26666666666666666,16.0,16.0,0.22916666666666669
2570,Etica Profesional,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,12.0,11.0,3.0,1.0,0.2727272727272727,0.09090909090909091,3.0,0.0,0.6
2666,Orientacion y Liderazgo,1,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,30.0,30.0,9.0,7.0,0.3,0.23333333333333334,9.0,0.0,0.35
2667,Tecnicas de Investigacion y Estudio,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,90.0,84.0,20.0,20.0,0.23809523809523808,0.23809523809523808,20.0,20.0,0.625
2670,Gestion de Desastres,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2672,Introduccion a la Evaluacion de Impacto Ambiental,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2792,Idioma Tecnico 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2793,Idioma Tecnico 2,2,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2794,Idioma Tecnico 3,3,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2795,Matematica de Computo 1,3,Ciencias de la Computacion,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,50.0,49.0,12.0,10.0,0.24489795918367346,0.20408163265306123,12.0,12.0,0.8333333333333334
2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,Si,Si,4,alto,True,False,True,False,2,0.5,oferta_semestral,157.0,147.0,62.0,46.0,0.4305555555555556,0.3194444444444444,62.0,62.0,0.9783333333333333
2797,Logica de Sistemas,3,Metodologia de Sistemas,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,48.0,46.0,12.0,11.0,0.2608695652173913,0.2391304347826087,12.0,12.0,0.8
2798,Lenguajes Formales y de Programacion,4,Ciencias de la Computacion,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,36.0,34.0,13.0,12.0,0.38235294117647056,0.35294117647058826,13.0,13.0,0.8
2799,Matematica de Computo 2,4,Ciencias de la Computacion,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,32.0,30.0,8.0,7.0,0.26666666666666666,0.23333333333333334,8.0,8.0,0.7111111111111111
2800,Introduccion a la Programacion y Computacion 2,4,Desarrollo de Software,Si,Si,5,alto,True,False,True,False,2,0.5,oferta_semestral,40.0,35.0,13.0,11.0,0.3939393939393939,0.3333333333333333,13.0,13.0,0.6666666666666666
2801,Idioma Tecnico 4,4,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2802,Analisis Probabilistico,5,Metodologia de Sistemas,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,26.0,25.0,7.0,5.0,0.28,0.2,7.0,7.0,0.5777777777777777
2803,Organizacion de Lenguajes y Compiladores 1,5,Ciencias de la Computacion,Si,Si,5,alto,True,False,True,False,2,0.5,oferta_semestral,31.0,29.0,8.0,12.0,0.2962962962962963,0.4444444444444444,8.0,8.0,0.6416666666666666
2804,Organizacion Computacional,5,Ciencias de la Computacion,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,18.0,18.0,5.0,4.0,0.2777777777777778,0.2222222222222222,5.0,0.0,0.6
2805,Estructura de Datos,5,Desarrollo de Software,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,19.0,18.0,7.0,4.0,0.3888888888888889,0.2222222222222222,7.0,7.0,0.6333333333333333
2806,Principios De Metrologia,5,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2807,Practica Inicial TI,5,EPS,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,22.0,19.0,5.0,4.0,0.2631578947368421,0.21052631578947367,5.0,5.0,0.7333333333333333
2808,Teoria de Sistemas 1,6,Metodologia de Sistemas,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,20.0,17.0,4.0,4.0,0.23529411764705882,0.23529411764705882,4.0,4.0,0.6666666666666666
2809,Economia,6,Metodologia de Sistemas,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,26.0,26.0,6.0,6.0,0.23076923076923078,0.23076923076923078,6.0,0.0,0.5777777777777777
2810,Organizacion de Lenguajes y Compiladores 2,6,Ciencias de la Computacion,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,16.0,15.0,3.0,5.0,0.23076923076923078,0.38461538461538464,3.0,3.0,0.5333333333333333
2811,Arquitectura de Computadores y Ensambladores 1,6,Ciencias de la Computacion,Si,Si,5,alto,False,False,True,False,1,0.25,oferta_unica,24.0,24.0,7.0,7.0,0.2916666666666667,0.2916666666666667,7.0,7.0,0.8
2812,Manejo e Implementacion de Archivos,6,Desarrollo de Software,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,22.0,18.0,6.0,4.0,0.3333333333333333,0.2222222222222222,6.0,6.0,0.7333333333333333
2813,Teoria de Sistemas 2,7,Metodologia de Sistemas,Si,Si,4,alto,True,False,False,False,1,0.25,oferta_unica,28.0,26.0,7.0,7.0,0.2692307692307692,0.2692307692307692,7.0,7.0,0.6222222222222222
2814,Sistemas Operativos 1,7,Ciencias de la Computacion,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,27.0,26.0,10.0,6.0,0.38461538461538464,0.23076923076923078,10.0,10.0,0.6
2815,Arquitectura de Computadores y Ensambladores 2,7,Ciencias de la Computacion,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,13.0,13.0,3.0,3.0,0.23076923076923078,0.23076923076923078,3.0,0.0,0.65
2816,Redes de Computadoras 1,7,Ciencias de la Computacion,No,Si,1,medio,True,False,False,True,2,0.5,oferta_mixta,39.0,36.0,15.0,8.0,0.4166666666666667,0.2222222222222222,15.0,15.0,0.6
2817,Sistemas de Bases de Datos 1,7,Desarrollo de Software,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,30.0,28.0,11.0,10.0,0.39285714285714285,0.35714285714285715,11.0,11.0,0.6666666666666666
2818,Practica Intemedia TI,7,EPS,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,28.0,27.0,8.0,7.0,0.2962962962962963,0.25925925925925924,8.0,8.0,0.6222222222222222
2819,Sistemas Operativos 2,8,Ciencias de la Computacion,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,26.0,24.0,9.0,9.0,0.375,0.375,9.0,0.0,0.5777777777777777
2820,Redes de Computadoras 2,8,Ciencias de la Computacion,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,18.0,17.0,6.0,3.0,0.35294117647058826,0.17647058823529413,6.0,6.0,0.6
2821,Sistemas de Bases de Datos 2,8,Desarrollo de Software,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,11.0,10.0,4.0,3.0,0.4,0.3,4.0,4.0,0.55
2822,Analisis y Diseño de Sistemas 1,8,Desarrollo de Software,Si,Si,3,medio,False,False,True,True,2,0.5,oferta_mixta,28.0,27.0,10.0,7.0,0.37037037037037035,0.25925925925925924,4.0,4.0,0.55
2823,Seminario de Sistemas 1,8,Desarrollo de Software,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,17.0,14.0,4.0,3.0,0.2857142857142857,0.21428571428571427,4.0,4.0,0.5666666666666667
2824,Modelacion y Simulacion 1,9,Metodologia de Sistemas,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2825,Sistemas Organizacionales y Gerenciales 1,9,Metodologia de Sistemas,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,15.0,14.0,3.0,4.0,0.21428571428571427,0.2857142857142857,3.0,3.0,0.75
2826,Inteligencia Artificial 1,9,Ciencias de la Computacion,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,13.0,13.0,3.0,4.0,0.23076923076923078,0.3076923076923077,3.0,3.0,0.65
2827,Analisis y Diseño de Sistemas 2,9,Desarrollo de Software,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,13.0,11.0,3.0,5.0,0.2727272727272727,0.45454545454545453,3.0,3.0,0.65
2828,Seminario de Sistemas 2,9,Desarrollo de Software,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,7.0,7.0,2.0,0.0,0.4,0.0,2.0,2.0,0.35
2829,Practica Final,9,EPS,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,15.0,15.0,5.0,2.0,0.3333333333333333,0.13333333333333333,5.0,0.0,0.375
2830,Emprendedores de Negocios Informaticos,9,Metodologia de Sistemas,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2831,Seguridad y Auditorias de Redes,9,Ciencias de la Computacion,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2832,Sistemas Aplicados 1,9,Desarrollo de Software,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2833,Bases de Datos Avanzadas,9,Desarrollo de Software,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2834,Sistemas Organizacionales y Gerenciales 2,10,Metodologia de Sistemas,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,15.0,13.0,3.0,2.0,0.23076923076923078,0.15384615384615385,3.0,0.0,0.75
2835,Modelacion y Simulacion 2,10,Metodologia de Sistemas,No,No,0,bajo,False,True,False,False,1,0.25,oferta_vacaciones,9.0,6.0,3.0,0.0,0.5,0.0,3.0,0.0,0.45
2836,Software Avanzado,10,Desarrollo de Software,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,14.0,14.0,4.0,3.0,0.2857142857142857,0.21428571428571427,4.0,0.0,0.7
2837,Seminario de Investigacion,10,Ciencias Basicas y Complementarias,No,No,0,bajo,False,True,True,False,2,0.5,oferta_mixta,21.0,20.0,7.0,3.0,0.35,0.15,4.0,0.0,0.525
2838,Inteligencia Artificial 2,10,Ciencias de la Computacion,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2839,Redes de Nueva Generacion,10,Ciencias de la Computacion,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2840,Sistemas Aplicados 2,10,Desarrollo de Software,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2841,Auditoria de Proyectos de Software,10,Desarrollo de Software,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
2842,Seminario de Investigacion EPS,10,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
290,Matematica Intermedia 1,3,Ciencias Basicas y Complementarias,Si,Si,5,alto,True,True,True,True,4,1.0,oferta_continua,222.0,211.0,64.0,41.0,0.3033175355450237,0.1943127962085308,9.0,9.0,0.6677692307692308
291,Matematica Intermedia 2,4,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,77.0,73.0,20.0,13.0,0.273972602739726,0.1780821917808219,4.0,4.0,0.565
292,Matematica Intermedia 3,4,Ciencias Basicas y Complementarias,Si,Si,3,medio,True,True,True,True,4,1.0,oferta_continua,67.0,62.0,18.0,9.0,0.2903225806451613,0.14516129032258066,3.0,3.0,0.54375
670,Ingenieria Electrica 1,6,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,18.0,18.0,4.0,3.0,0.2222222222222222,0.16666666666666666,4.0,0.0,0.45
673,Matematica Aplicada 1,5,Ciencias Basicas y Complementarias,Si,Si,3,medio,True,True,True,True,4,1.0,oferta_continua,32.0,32.0,10.0,5.0,0.3125,0.15625,3.0,3.0,0.4
674,Matematica Aplicada 3,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,False,3,0.75,oferta_continua,28.0,27.0,8.0,6.0,0.2962962962962963,0.2222222222222222,3.0,3.0,0.4666666666666666
685,Investigacion de Operaciones 1,6,Metodologia de Sistemas,Si,Si,3,medio,True,True,True,False,3,0.75,oferta_continua,28.0,24.0,7.0,3.0,0.2916666666666667,0.125,2.0,2.0,0.4666666666666666
690,Ingenieria Economica 1,8,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,62.0,58.0,14.0,9.0,0.2413793103448276,0.15517241379310345,3.0,3.0,0.5916666666666667
694,Contabilidad 1,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,True,3,0.75,oferta_continua,25.0,25.0,7.0,4.0,0.28,0.16,5.0,5.0,0.4166666666666667
779,Contabilidad 2,6,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,4.0,4.0,1.0,1.0,0.25,0.25,1.0,1.0,0.1
795,Investigacion de Operaciones 2,7,Metodologia de Sistemas,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,24.0,22.0,5.0,4.0,0.22727272727272727,0.18181818181818182,5.0,5.0,0.6
904,Matematica Aplicada 2,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
905,Matematica Aplicada 4,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
909,Preparacion y Evaluacion de Proyectos 1,10,Ciencias Basicas y Complementarias,No,No,0,bajo,True,True,False,True,3,0.75,oferta_continua,20.0,19.0,6.0,2.0,0.3157894736842105,0.10526315789473684,4.0,0.0,0.3333333333333333
912,Planeamiento,10,Ciencias Basicas y Complementarias,No,No,0,bajo,True,True,True,True,4,1.0,oferta_continua,13.0,13.0,3.0,1.0,0.23076923076923078,0.07692307692307693,1.0,0.0,0.1625
919,Contabilidad 3,7,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,14.0,12.0,4.0,0.0,0.3333333333333333,0.0,4.0,0.0,0.35
922,Ingenieria Economica 2,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,
943,Administracion de Empresas 1,7,Desarrollo de Software,No,No,0,bajo,True,False,True,True,3,0.75,oferta_continua,11.0,10.0,3.0,1.0,0.3,0.1,1.0,0.0,0.18333333333333335
949,Estadistica 1,4,Metodologia de Sistemas,Si,Si,6,alto,True,True,True,False,3,0.75,oferta_continua,69.0,66.0,20.0,16.0,0.30303030303030304,0.24242424242424243,7.0,7.0,0.6014814814814815
950,Estadistica 2,7,Metodologia de Sistemas,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,10.0,10.0,4.0,1.0,0.4,0.1,4.0,0.0,0.25
