codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024
028,Social Humanistica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.32,0.24,0.25,8.0,8.0,1,0.20833333333333334,25.0,25.0
029,Social Humanistica 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.25,0.1875,0.25,8.0,8.0,2,0.4375,35.0,32.0
072,Fisica Basica,Ciencias Basicas y Complementarias,No,Si,medio,0.2830188679245283,0.25471698113207547,0.5,30.0,30.0,1,0.6547368421052631,110.0,106.0
077,Filosofia de la Ciencia,Ciencias Basicas y Complementarias,No,No,bajo,0.2,0.26666666666666666,0.25,3.0,0.0,0,0.6,18.0,15.0
085,Logica,Ciencias Basicas y Complementarias,No,No,bajo,0.2564102564102564,0.23076923076923078,0.5,20.0,0.0,0,0.7264957264957266,82.0,78.0
094,Ecologia,Ciencias Basicas y Complementarias,No,Si,medio,0.32,0.12,1.0,2.0,2.0,1,0.325,26.0,25.0
119,Tecnica Complementaria 1,Ciencias Basicas y Complementarias,No,No,bajo,0.2777777777777778,0.3055555555555556,0.25,10.0,0.0,0,0.36,36.0,36.0
146,Fisica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.3302752293577982,0.1559633027522936,1.0,7.0,7.0,1,0.5889194139194139,119.0,109.0
147,Fisica 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.3364485981308411,0.19626168224299065,1.0,6.0,6.0,3,0.6488461538461539,112.0,107.0
169,Matematica Basica 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.29118773946360155,0.15708812260536398,1.0,11.0,11.0,2,0.6715832943743182,269.0,261.0
170,Matematica Basica 2,Ciencias Basicas y Complementarias,Si,Si,alto,0.2896551724137931,0.15862068965517243,1.0,8.0,8.0,6,0.6697916666666667,151.0,145.0
177,Deportes 1,Ciencias Basicas y Complementarias,No,Si,medio,0.2727272727272727,0.0,0.25,3.0,3.0,1,0.1375,11.0,11.0
178,Deportes 2,Ciencias Basicas y Complementarias,No,No,bajo,0.3333333333333333,0.2222222222222222,0.25,3.0,0.0,0,0.16666666666666666,10.0,9.0
216,Quimica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.35555555555555557,0.26666666666666666,0.5,16.0,16.0,1,0.22916666666666669,45.0,45.0
2570,Etica Profesional,Ciencias Basicas y Complementarias,No,No,bajo,0.2727272727272727,0.09090909090909091,0.25,3.0,0.0,0,0.6,12.0,11.0
2666,Orientacion y Liderazgo,Ciencias Basicas y Complementarias,No,No,bajo,0.3,0.23333333333333334,0.5,9.0,0.0,0,0.35,30.0,30.0
2667,Tecnicas de Investigacion y Estudio,Ciencias Basicas y Complementarias,No,Si,medio,0.23809523809523808,0.23809523809523808,0.5,20.0,20.0,1,0.625,90.0,84.0
2670,Gestion de Desastres,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2672,Introduccion a la Evaluacion de Impacto Ambiental,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2792,Idioma Tecnico 1,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2793,Idioma Tecnico 2,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2794,Idioma Tecnico 3,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2795,Matematica de Computo 1,Ciencias de la Computacion,Si,Si,medio,0.24489795918367346,0.20408163265306123,0.25,12.0,12.0,3,0.8333333333333334,50.0,49.0
2796,Introduccion a la Programacion y Computacion 1,Desarrollo de Software,Si,Si,alto,0.4305555555555556,0.3194444444444444,0.5,62.0,62.0,4,0.9783333333333333,157.0,147.0
2797,Logica de Sistemas,Metodologia de Sistemas,Si,Si,medio,0.2608695652173913,0.2391304347826087,0.25,12.0,12.0,3,0.8,48.0,46.0
2798,Lenguajes Formales y de Programacion,Ciencias de la Computacion,Si,Si,medio,0.38235294117647056,0.35294117647058826,0.25,13.0,13.0,3,0.8,36.0,34.0
2799,Matematica de Computo 2,Ciencias de la Computacion,Si,Si,medio,0.26666666666666666,0.23333333333333334,0.25,8.0,8.0,3,0.7111111111111111,32.0,30.0
