codigo_curso,periodo_academico,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,cupo_ofertado_oferta,tasa_ocupacion_cupo,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,necesito_recuperacion,perdida_definitiva,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,56.0,20,0.1,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,40.0,20,0.1,False,False,True,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,35.0,20,0.15,False,False,True,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,61.0,20,0.15,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,57.0,20,0.15,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,47.0,20,0.25,False,False,False,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,63.0,20,0.25,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,40.0,20,0.25,False,False,True,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,48.0,20,0.25,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,67.0,20,0.25,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,46.0,20,0.1,False,False,True,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,52.0,20,0.1,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,49.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,37.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,40.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,58.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,50.0,20,0.45,False,False,False,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,50.0,20,0.45,False,False,True,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,54.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,63.0,20,0.45,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,49.0,20,0.45,False,False,False,True,True,True
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,48.0,20,0.2,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,55.0,20,0.2,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,57.0,20,0.2,False,False,False,False,False,False
028,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,1,medio,2024,35.0,20,0.2,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,31.0,30,0.5333333333333333,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,36.0,30,0.5333333333333333,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,50.0,30,0.5333333333333333,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,37.0,30,0.5333333333333333,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,49.0,30,0.5333333333333333,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,57.0,30,0.5333333333333333,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,34.0,30,0.5333333333333333,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,36.0,30,0.5333333333333333,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,55.0,30,0.5333333333333333,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,63.0,30,0.5333333333333333,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,41.0,30,0.5333333333333333,False,False,False,False,False,False
