transaccion_id,abierto_siguiente,aprobo,area_ciencias_basicas_y_complementarias,area_ciencias_de_la_computacion,area_desarrollo_de_software,area_eps,area_metodologia_de_sistemas,bloqueo_alto,bloqueo_bajo,bloqueo_medio,curso_base,curso_no_base,curso_no_obligatorio,curso_obligatorio,no_abierto_siguiente,no_requiere_laboratorio,ocupacion_alta,ocupacion_baja,ocupacion_media,perdio,periodo_s1,periodo_s2,periodo_v1,periodo_v2,recuperacion,requiere_laboratorio,riesgo_retraso,semestre_1,semestre_10,semestre_2,semestre_3,semestre_4,semestre_5,semestre_6,semestre_7,semestre_8,semestre_9,sin_recuperacion,sin_riesgo_retraso,zona_alta,zona_baja,zona_media,zona_sin_dato
TX-00001,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
TX-00002,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
TX-00003,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
TX-00004,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
TX-00005,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
TX-00006,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
TX-00007,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
TX-00008,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
TX-00009,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
TX-00010,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
TX-00011,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
TX-00012,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
TX-00013,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
TX-00014,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
TX-00015,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
TX-00016,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
