periodo_academico,orden_periodo,codigo_curso,nombre_curso,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,curso_aperturado,curso_cancelado,secciones_abiertas,cupo_total_ofertado,estudiantes_asignados,estudiantes_desasignados,estudiantes_con_nota,tasa_ocupacion_cupo,estudiantes_con_acta_ordinaria,aprobados_ordinario,reprobados_ordinario,estudiantes_recuperacion,aprobados_recuperacion,perdida_definitiva,nsp_total,equivalencias_total,tasa_aprobacion_ordinaria,tasa_perdida_ordinaria,tasa_recuperacion,tasa_aprobacion_recuperacion,tasa_perdida_definitiva,indice_dependencia_recuperacion,promedio_zona_ordinaria,promedio_examen_ordinario,promedio_nota_total_ordinario,curso_abierto_periodo_siguiente,curso_abierto_en_periodo_posterior_2024,estudiantes_sin_oportunidad_inmediata,estudiantes_en_riesgo_retraso_curricular
S1,1,028,Social Humanistica 1,1,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,1,medio,Si,No,6,120,25,0,25,0.20833333333333334,25,16,9,6,1,8,0,0,0.64,0.36,0.24,0.16666666666666666,0.32,0.058823529411764705,50.28,14.56,64.84,False,False,8,8
S1,1,072,Fisica Basica,2,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,2,75,54,2,52,0.72,52,31,18,12,6,15,3,0,0.5961538461538461,0.34615384615384615,0.23076923076923078,0.5,0.28846153846153844,0.16216216216216217,46.13461538461539,16.73469387755102,61.90384615384615,False,True,15,15
S1,1,077,Filosofia de la Ciencia,5,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,30,18,3,15,0.6,15,10,5,4,2,3,0,0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.5,0.2,0.16666666666666666,47.6,17.333333333333332,64.93333333333334,False,False,3,0
S1,1,085,Logica,4,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,2,65,54,3,51,0.8307692307692308,51,32,17,11,6,13,2,0,0.6274509803921569,0.3333333333333333,0.21568627450980393,0.5454545454545454,0.2549019607843137,0.15789473684210525,48.627450980392155,15.83673469387755,63.84313725490196,False,True,13,0
S1,1,094,Ecologia,5,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,1,20,6,1,5,0.3,5,3,2,1,0,2,0,0,0.6,0.4,0.2,0.0,0.4,0.0,57.0,7.8,64.8,True,True,0,0
S1,1,119,Tecnica Complementaria 1,1,Ciencias Basicas y Complementarias,teorico,No,Si,No,No,0,bajo,Si,No,5,100,36,0,36,0.36,36,23,13,11,3,10,0,0,0.6388888888888888,0.3611111111111111,0.3055555555555556,0.2727272727272727,0.2777777777777778,0.11538461538461539,50.30555555555556,17.11111111111111,67.41666666666667,False,False,10,0
S1,1,146,Fisica 1,3,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,2,65,42,4,38,0.6461538461538462,38,23,13,8,4,11,2,0,0.6052631578947368,0.34210526315789475,0.21052631578947367,0.5,0.2894736842105263,0.14814814814814814,46.526315789473685,16.555555555555557,62.21052631578947,True,True,0,0
S1,1,147,Fisica 2,4,Ciencias Basicas y Complementarias,teorico,Si,Si,Si,Si,3,medio,Si,No,2,65,40,4,36,0.6153846153846154,36,21,13,10,4,11,2,0,0.5833333333333334,0.3611111111111111,0.2777777777777778,0.4,0.3055555555555556,0.16,46.94444444444444,15.058823529411764,61.166666666666664,True,True,0,0
S1,1,169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,6,155,95,5,90,0.6129032258064516,90,58,30,23,10,22,2,0,0.6444444444444445,0.3333333333333333,0.25555555555555554,0.43478260869565216,0.24444444444444444,0.14705882352941177,49.15555555555556,15.863636363636363,64.66666666666667,True,True,0,0
S1,1,170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,6,alto,Si,No,3,80,61,5,56,0.7625,56,35,19,11,7,14,2,0,0.625,0.3392857142857143,0.19642857142857142,0.6363636363636364,0.25,0.16666666666666666,48.30357142857143,18.35185185185185,66.0,True,True,0,0
S1,1,177,Deportes 1,1,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,4,80,11,0,11,0.1375,11,8,3,0,0,3,0,0,0.7272727272727273,0.2727272727272727,0.0,,0.2727272727272727,0.0,52.90909090909091,15.454545454545455,68.36363636363636,False,False,3,3
S1,1,216,Quimica 1,1,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,6,120,25,0,25,0.20833333333333334,25,15,10,6,1,9,0,0,0.6,0.4,0.24,0.16666666666666666,0.36,0.0625,49.56,15.48,65.04,False,True,9,9
S1,1,2666,Orientacion y Liderazgo,1,Ciencias Basicas y Complementarias,teorico,No,Si,No,No,0,bajo,Si,No,5,100,20,0,20,0.2,20,14,6,3,0,6,0,0,0.7,0.3,0.15,0.0,0.3,0.0,51.55,14.55,66.1,False,True,6,0
S1,1,2667,Tecnicas de Investigacion y Estudio,2,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,1,medio,Si,No,1,60,45,3,42,0.75,42,27,13,9,5,10,2,0,0.6428571428571429,0.30952380952380953,0.21428571428571427,0.5555555555555556,0.23809523809523808,0.15625,50.38095238095238,15.125,64.78571428571429,False,True,10,10
S1,1,2795,Matematica de Computo 1,3,Ciencias de la Computacion,teorico,No,Si,Si,Si,3,medio,Si,No,1,60,50,1,49,0.8333333333333334,49,31,16,10,6,12,2,0,0.6326530612244898,0.32653061224489793,0.20408163265306123,0.6,0.24489795918367346,0.16216216216216217,49.83673469387755,15.787234042553191,64.9795918367347,False,False,12,12
S1,1,2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,mixto,Si,Si,Si,Si,4,alto,Si,No,1,100,99,9,90,0.99,88,39,41,30,12,37,8,2,0.4431818181818182,0.4659090909090909,0.3409090909090909,0.4,0.4111111111111111,0.22641509433962265,45.64772727272727,14.725,59.03409090909091,False,True,37,37
S1,1,2797,Logica de Sistemas,3,Metodologia de Sistemas,mixto,No,Si,Si,Si,3,medio,Si,No,1,60,48,2,46,0.8,46,28,16,11,6,12,2,0,0.6086956521739131,0.34782608695652173,0.2391304347826087,0.5454545454545454,0.2608695652173913,0.17647058823529413,48.130434782608695,16.272727272727273,63.69565217391305,False,False,12,12
