estudiante_id_ofuscado,codigo_curso,periodo_academico,fecha_acta,oportunidad_evaluacion,seccion,zona,nota_examen,nota_total,resultado,numero_acta,estado_acta
d1be5647-fdd8-53fe-8b3c-64441ddd5977,028,S1,2024-05-14,Ordinario,A,56,17,73,Aprobado,ACTA-2024-S1-028-A-ORD,Normal
f1655cb7-00bc-5455-9379-254358e903cf,028,S1,2024-05-14,Ordinario,A,40,17,57,Reprobado,ACTA-2024-S1-028-A-ORD,Normal
f1655cb7-00bc-5455-9379-254358e903cf,028,S1,2024-05-27,Primera recuperacion,A,40,17,57,Reprobado,ACTA-2024-S1-028-A-REC1,Normal
17c7a9a2-f074-5a25-9c33-123c3f252a00,028,S1,2024-05-09,Ordinario,B,35,0,35,Reprobado,ACTA-2024-S1-028-B-ORD,Normal
4ca64fe3-739c-5549-9021-88056df3ce2c,028,S1,2024-05-09,Ordinario,B,61,4,65,Aprobado,ACTA-2024-S1-028-B-ORD,Normal
b92068f4-3013-587a-8e70-ce58bab62301,028,S1,2024-05-09,Ordinario,B,57,23,80,Aprobado,ACTA-2024-S1-028-B-ORD,Normal
17c7a9a2-f074-5a25-9c33-123c3f252a00,028,S1,2024-05-28,Primera recuperacion,B,35,0,35,Reprobado,ACTA-2024-S1-028-B-REC1,Normal
79f7bd09-d805-5ce8-ab92-7f3812865478,028,S1,2024-05-14,Ordinario,C,47,5,52,Reprobado,ACTA-2024-S1-028-C-ORD,Normal
92fcb7e2-aae7-5aa4-81b8-b92b825fe8a7,028,S1,2024-05-14,Ordinario,C,63,1,64,Aprobado,ACTA-2024-S1-028-C-ORD,Normal
b48cf04d-3355-5979-a671-d15244b9f856,028,S1,2024-05-14,Ordinario,C,40,3,43,Reprobado,ACTA-2024-S1-028-C-ORD,Normal
cf443787-1a74-5a5e-bff3-2ef5575818ac,028,S1,2024-05-14,Ordinario,C,48,19,67,Aprobado,ACTA-2024-S1-028-C-ORD,Normal
e47c32f0-0c28-5157-bc7c-72d90ae601f8,028,S1,2024-05-14,Ordinario,C,67,15,82,Aprobado,ACTA-2024-S1-028-C-ORD,Normal
b48cf04d-3355-5979-a671-d15244b9f856,028,S1,2024-05-28,Primera recuperacion,C,40,3,43,Reprobado,ACTA-2024-S1-028-C-REC1,Normal
286fa7de-31f8-56c1-8023-d8120c448dc4,028,S1,2024-05-08,Ordinario,D,46,4,50,Reprobado,ACTA-2024-S1-028-D-ORD,Normal
d31f1530-eb29-5bdd-b1a8-a3ae4c08702f,028,S1,2024-05-08,Ordinario,D,52,26,78,Aprobado,ACTA-2024-S1-028-D-ORD,Normal
286fa7de-31f8-56c1-8023-d8120c448dc4,028,S1,2024-05-27,Primera recuperacion,D,46,4,50,Reprobado,ACTA-2024-S1-028-D-REC1,Normal
00951361-bee7-5343-85b9-b2de39c38298,028,S1,2024-05-16,Ordinario,E,49,21,70,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
421e5b33-6bf8-5c14-a03b-3a4e6da333e6,028,S1,2024-05-16,Ordinario,E,37,25,62,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
76c382db-d59f-56da-9b78-fa2341e8a839,028,S1,2024-05-16,Ordinario,E,40,27,67,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
79e7db35-50f0-5599-a41c-31b243f13720,028,S1,2024-05-16,Ordinario,E,58,22,80,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
898ef159-1bc5-50f4-a839-8a6328ead4e2,028,S1,2024-05-16,Ordinario,E,50,9,59,Reprobado,ACTA-2024-S1-028-E-ORD,Normal
aa0e548f-62ee-554b-83fc-7eb4613cf4ff,028,S1,2024-05-16,Ordinario,E,50,5,55,Reprobado,ACTA-2024-S1-028-E-ORD,Normal
be370c13-7be9-54a5-89bb-4bdce7fb2e43,028,S1,2024-05-16,Ordinario,E,54,16,70,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
dda7d84e-c79a-5f19-b8d1-4090f3239620,028,S1,2024-05-16,Ordinario,E,63,29,92,Aprobado,ACTA-2024-S1-028-E-ORD,Normal
fb399764-8cce-535f-a2de-db636fb7aac4,028,S1,2024-05-16,Ordinario,E,49,8,57,Reprobado,ACTA-2024-S1-028-E-ORD,Normal
aa0e548f-62ee-554b-83fc-7eb4613cf4ff,028,S1,2024-05-21,Primera recuperacion,E,50,11,61,Aprobado,ACTA-2024-S1-028-E-REC1,Normal
9b21c50e-3681-517b-af9a-5d043499cb27,028,S1,2024-05-10,Ordinario,F,48,28,76,Aprobado,ACTA-2024-S1-028-F-ORD,Normal
d3fc7fce-8bb1-5b8f-a4d5-58e2ef066b24,028,S1,2024-05-10,Ordinario,F,55,6,61,Aprobado,ACTA-2024-S1-028-F-ORD,Normal
e1e5ddb0-f781-58a0-8ee3-0398d09b2498,028,S1,2024-05-10,Ordinario,F,57,14,71,Aprobado,ACTA-2024-S1-028-F-ORD,Normal
f23552cd-6876-5561-b470-73e7c5e2bebe,028,S1,2024-05-10,Ordinario,F,35,20,55,Reprobado,ACTA-2024-S1-028-F-ORD,Normal
f23552cd-6876-5561-b470-73e7c5e2bebe,028,S1,2024-05-25,Primera recuperacion,F,35,20,55,Reprobado,ACTA-2024-S1-028-F-REC1,Normal
f23552cd-6876-5561-b470-73e7c5e2bebe,028,S1,2024-07-07,Segunda recuperacion,F,35,20,55,Reprobado,ACTA-2024-S1-028-F-REC2,Normal
136359a4-f6ba-5d83-bc2f-db84eb392890,072,S1,2024-05-13,Ordinario,A,31,NSP,31,NSP,ACTA-2024-S1-072-A-ORD,Normal
1f2b77ef-07aa-502d-929d-d94213b94b63,072,S1,2024-05-13,Ordinario,A,36,4,40,Reprobado,ACTA-2024-S1-072-A-ORD,Normal
3d0a4f10-ddc8-5c1d-9130-52080699b517,072,S1,2024-05-13,Ordinario,A,50,8,58,Reprobado,ACTA-2024-S1-072-A-ORD,Normal
3e703abf-7a8c-5481-8fa7-6bc889902317,072,S1,2024-05-13,Ordinario,A,37,26,63,Aprobado,ACTA-2024-S1-072-A-ORD,Normal
