periodo_academico,codigo_curso,nombre_curso,seccion,curso_aperturado,curso_cancelado,cupo_ofertado,estudiantes_asignados,estudiantes_con_nota,jornada,horario,salon,docente,modalidad,fecha_inicio,fecha_fin,fuente_archivo,metodo_match,observaciones
S1,028,Social Humanistica 1,A,Si,No,20,2,2,vespertina,17:00-17:50,13,,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF
S1,028,Social Humanistica 1,B,Si,No,20,3,3,vespertina,16:10-17:00,9,7240 - Jorge Aparicio García Ixcot,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,C,Si,No,20,5,5,vespertina,17:00-17:50,10,7240 - Jorge Aparicio García Ixcot,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,E,Si,No,20,9,9,vespertina,13:40-14:30,6,20020363 - Edgar Enrique Barrios Heredia,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,028,Social Humanistica 1,F,Si,No,20,4,4,matutina,8:00-8:50,Salón de Proyecciones,20130481 - Carlos Eduardo Chavarria Alecio,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,A,Si,No,20,13,13,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo,20161058 - Aura Skarleth Mauricio Rodríguez,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,B,Si,No,20,3,3,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo (Martes),18402 - Marvin Juan José Maldonado De Leon,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,C,Si,No,20,9,9,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo (Miércoles),20040729 - Rodolfo Leonidas Cifuentes Morales,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,E,Si,No,20,6,6,nocturna,18:40-19:30; 19:30-20:20; 20:20-21:10,Salón de Dibujo (Jueves),20161058 - Aura Skarleth Mauricio Rodríguez,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
S1,119,Tecnica Complementaria 1,F,Si,No,20,5,5,matutina,11:20-12:10,Salón de Proyecciones,20200418 - Wendy Lucrecia Diaz Coti,presencial,2024-01-22,2024-05-03,Horario de Clases 01-2024-L-M-V - SD.pdf,codigo_pdf,
