dataset,columna,filas,valores_vacios,porcentaje_vacios,valores_unicos,ejemplos
catalogo_cursos,codigo_curso,90,0,0.0,90,028; 119; 169; 177; 216; +85 mas
catalogo_cursos,nombre_curso,90,0,0.0,90,Social Humanistica 1; Tecnica Complementaria 1; Matematica Basica 1; Deportes 1; Quimica 1; +85 mas
catalogo_cursos,semestre_pensum,90,0,0.0,10,1; 2; 3; 4; 5; +5 mas
catalogo_cursos,pensum,90,0,0.0,1,2016-58
catalogo_cursos,tipo_curso,90,0,0.0,3,teorico; mixto; practico
catalogo_cursos,creditos,90,0,0.0,9,4; 3; 7; 1; 2; +4 mas
catalogo_cursos,estado_curso,90,0,0.0,1,vigente
actas_notas,estudiante_id_ofuscado,3468,0,0.0,638,d1be5647-fdd8-53fe-8b3c-64441ddd5977; f1655cb7-00bc-5455-9379-254358e903cf; 17c7a9a2-f074-5a25-9c33-123c3f252a00; 4ca64fe3-739c-5549-9021-88056df3ce2c; b92068f4-3013-587a-8e70-ce58bab62301; +633 mas
actas_notas,codigo_curso,3468,0,0.0,70,028; 072; 077; 085; 094; +65 mas
actas_notas,periodo_academico,3468,0,0.0,4,S1; S2; V1; V2
actas_notas,fecha_acta,3468,0,0.0,69,2024-05-14; 2024-05-27; 2024-05-09; 2024-05-28; 2024-05-08; +64 mas
actas_notas,oportunidad_evaluacion,3468,0,0.0,4,Ordinario; Primera recuperacion; Segunda recuperacion; Equivalencia
actas_notas,seccion,3468,0,0.0,6,A; B; C; D; E; +1 mas
actas_notas,zona,3468,0,0.0,39,56; 40; 35; 61; 57; +34 mas
actas_notas,nota_examen,3468,0,0.0,33,17; 0; 4; 23; 5; +28 mas
actas_notas,nota_total,3468,0,0.0,69,73; 57; 35; 65; 80; +64 mas
actas_notas,resultado,3468,0,0.0,3,Aprobado; Reprobado; NSP
actas_notas,numero_acta,3468,0,0.0,444,ACTA-2024-S1-028-A-ORD; ACTA-2024-S1-028-A-REC1; ACTA-2024-S1-028-B-ORD; ACTA-2024-S1-028-B-REC1; ACTA-2024-S1-028-C-ORD; +439 mas
actas_notas,estado_acta,3468,0,0.0,1,Normal
asignaciones,estudiante_id_ofuscado,2879,0,0.0,640,d1be5647-fdd8-53fe-8b3c-64441ddd5977; f1655cb7-00bc-5455-9379-254358e903cf; 17c7a9a2-f074-5a25-9c33-123c3f252a00; 4ca64fe3-739c-5549-9021-88056df3ce2c; b92068f4-3013-587a-8e70-ce58bab62301; +635 mas
asignaciones,codigo_curso,2879,0,0.0,70,028; 072; 077; 085; 094; +65 mas
asignaciones,periodo_academico,2879,0,0.0,4,S1; S2; V1; V2
asignaciones,seccion,2879,0,0.0,6,A; B; C; D; E; +1 mas
asignaciones,fecha_asignacion,2879,0,0.0,47,2024-01-21; 2024-01-23; 2024-01-30; 2024-01-15; 2024-01-28; +42 mas
asignaciones,estado_asignacion,2879,0,0.0,2,con nota; desasignado
asignaciones,fecha_desasignacion,2879,2726,94.69,80,2024-03-20; 2024-04-13; 2024-03-19; 2024-03-28; 2024-03-25; +74 mas
oferta_academica,periodo_academico,205,0,0.0,4,S1; V1; S2; V2
oferta_academica,codigo_curso,205,0,0.0,70,028; 119; 169; 177; 216; +65 mas
oferta_academica,nombre_curso,205,0,0.0,70,Social Humanistica 1; Tecnica Complementaria 1; Matematica Basica 1; Deportes 1; Quimica 1; +65 mas
oferta_academica,seccion,205,0,0.0,6,A; B; C; E; F; +1 mas
oferta_academica,curso_aperturado,205,0,0.0,1,Si
oferta_academica,curso_cancelado,205,0,0.0,1,No
oferta_academica,cupo_ofertado,205,0,0.0,5,20; 45; 30; 60; 100
oferta_academica,estudiantes_asignados,205,0,0.0,41,2; 3; 5; 9; 4; +36 mas
oferta_academica,estudiantes_con_nota,205,0,0.0,40,2; 3; 5; 9; 4; +35 mas
oferta_academica,jornada,205,5,2.44,4,vespertina; matutina; nocturna
oferta_academica,horario,205,5,2.44,34,17:00-17:50; 16:10-17:00; 13:40-14:30; 8:00-8:50; 18:40-19:30; 19:30-20:20; 20:20-21:10; +28 mas
oferta_academica,salon,205,5,2.44,34,13; 9; 10; 6; Salón de Proyecciones; +28 mas
