itemset,tamano_itemset,soporte,conteo
curso_obligatorio,1,0.8833455612619222,2408
sin_riesgo_retraso,1,0.8492296404988995,2315
sin_recuperacion,1,0.7876008804108584,2147
no_requiere_laboratorio,1,0.7454145267791636,2032
aprobo,1,0.6966250917094644,1899
ocupacion_media,1,0.6625091709464417,1806
area_ciencias_basicas_y_complementarias,1,0.6247248716067498,1703
curso_base,1,0.6199559794570799,1690
no_abierto_siguiente,1,0.6078503301540719,1657
bloqueo_medio,1,0.599046221570066,1633
zona_media,1,0.5407190022010272,1474
periodo_s1,1,0.45634629493763756,1244
abierto_siguiente,1,0.3921496698459281,1069
periodo_s2,1,0.38407923697725604,1047
curso_no_base,1,0.38004402054292,1036
perdio,1,0.3033749082905356,827
ocupacion_baja,1,0.2835656639765224,773
requiere_laboratorio,1,0.2545854732208364,694
bloqueo_alto,1,0.2505502567865004,683
zona_alta,1,0.2450476889214967,668
recuperacion,1,0.2123991195891416,579
zona_baja,1,0.21019809244314014,573
semestre_3,1,0.20616287600880412,562
semestre_4,1,0.17791636096845195,485
riesgo_retraso,1,0.15077035950110051,411
bloqueo_bajo,1,0.1504035216434336,410
semestre_1,1,0.1496698459280998,408
semestre_2,1,0.13793103448275862,376
area_desarrollo_de_software,1,0.1243580337490829,339
area_ciencias_de_la_computacion,1,0.12032281731474688,328
curso_no_obligatorio,1,0.11665443873807776,318
area_metodologia_de_sistemas,1,0.1082171680117388,295
periodo_v1,1,0.09134262655906089,249
semestre_5,1,0.08547322083639032,233
semestre_7,1,0.07703595011005136,210
periodo_v2,1,0.06823184152604549,186
semestre_8,1,0.055025678650036686,150
ocupacion_alta,1,0.05392516507703595,147
semestre_6,1,0.05355832721936904,146
curso_obligatorio + sin_riesgo_retraso,2,0.7377109317681585,2011
sin_recuperacion + sin_riesgo_retraso,2,0.6969919295671313,1900
aprobo + sin_riesgo_retraso,2,0.6966250917094644,1899
curso_obligatorio + sin_recuperacion,2,0.6892883345561261,1879
no_requiere_laboratorio + sin_riesgo_retraso,2,0.6603081438004402,1800
curso_obligatorio + no_requiere_laboratorio,2,0.6287600880410859,1714
aprobo + curso_obligatorio,2,0.611518708730741,1667
curso_obligatorio + ocupacion_media,2,0.6093176815847395,1661
aprobo + sin_recuperacion,2,0.6008804108584006,1638
curso_base + curso_obligatorio,2,0.5986793837123991,1632
no_requiere_laboratorio + sin_recuperacion,2,0.5979457079970653,1630
ocupacion_media + sin_riesgo_retraso,2,0.5719002201027146,1559
area_ciencias_basicas_y_complementarias + sin_riesgo_retraso,2,0.5696991929567131,1553
bloqueo_medio + curso_obligatorio,2,0.5539251650770359,1510
aprobo + no_requiere_laboratorio,2,0.5308143800440206,1447
curso_obligatorio + no_abierto_siguiente,2,0.5278796771826852,1439
curso_base + sin_riesgo_retraso,2,0.5220102714600147,1423
no_requiere_laboratorio + ocupacion_media,2,0.5194424064563463,1416
ocupacion_media + sin_recuperacion,2,0.5194424064563463,1416
area_ciencias_basicas_y_complementarias + curso_obligatorio,2,0.5154071900220103,1405
area_ciencias_basicas_y_complementarias + sin_recuperacion,2,0.5088041085840058,1387
bloqueo_medio + sin_riesgo_retraso,2,0.4926632428466618,1343
curso_base + no_requiere_laboratorio,2,0.49082905355832723,1338
area_ciencias_basicas_y_complementarias + no_requiere_laboratorio,2,0.4900953778429934,1336
curso_base + sin_recuperacion,2,0.4871606749816581,1328
bloqueo_medio + sin_recuperacion,2,0.4768892149669846,1300
curso_obligatorio + zona_media,2,0.47248716067498164,1288
no_abierto_siguiente + sin_recuperacion,2,0.471019809244314,1284
aprobo + ocupacion_media,2,0.4699192956713133,1281
curso_base + ocupacion_media,2,0.46368305209097577,1264
no_abierto_siguiente + sin_riesgo_retraso,2,0.4570799706529714,1246
sin_riesgo_retraso + zona_media,2,0.4486426999266324,1223
aprobo + area_ciencias_basicas_y_complementarias,2,0.44240645634629494,1206
aprobo + curso_base,2,0.4277329420396185,1166
bloqueo_medio + no_requiere_laboratorio,2,0.42699926632428464,1164
area_ciencias_basicas_y_complementarias + ocupacion_media,2,0.421496698459281,1149
no_abierto_siguiente + no_requiere_laboratorio,2,0.421496698459281,1149
aprobo + bloqueo_medio,2,0.4203961848862803,1146
aprobo + no_abierto_siguiente,2,0.417461482024945,1138
bloqueo_medio + ocupacion_media,2,0.4156272927366104,1133
no_requiere_laboratorio + zona_media,2,0.4115920763022744,1122
curso_obligatorio + periodo_s1,2,0.40425531914893614,1102
sin_recuperacion + zona_media,2,0.40425531914893614,1102
area_ciencias_basicas_y_complementarias + bloqueo_medio,2,0.3983859134262656,1086
abierto_siguiente + sin_riesgo_retraso,2,0.3921496698459281,1069
periodo_s1 + sin_riesgo_retraso,2,0.3848129126925899,1049
bloqueo_medio + curso_base,2,0.3694057226705796,1007
no_abierto_siguiente + ocupacion_media,2,0.363536316947909,991
abierto_siguiente + area_ciencias_basicas_y_complementarias,2,0.3631694790902421,990
area_ciencias_basicas_y_complementarias + curso_base,2,0.3598679383712399,981
ocupacion_media + zona_media,2,0.3587674247982392,978
abierto_siguiente + curso_obligatorio,2,0.35546588407923696,969
