antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
area_ciencias_de_la_computacion,no_abierto_siguiente,1,1,0.12032281731474688,1.0,1.6451418225709113,0.12032281731474688,0.6078503301540719,0.047184553084909917,True
area_ciencias_de_la_computacion + curso_obligatorio,no_abierto_siguiente,2,1,0.12032281731474688,1.0,1.6451418225709113,0.12032281731474688,0.6078503301540719,0.047184553084909917,True
area_ciencias_de_la_computacion + ocupacion_media,no_abierto_siguiente,2,1,0.10014673514306677,1.0,1.6451418225709113,0.10014673514306677,0.6078503301540719,0.03927250912250124,True
area_ciencias_de_la_computacion + sin_riesgo_retraso,no_abierto_siguiente,2,1,0.08914159941305942,1.0,1.6451418225709113,0.08914159941305942,0.6078503301540719,0.034956848779369235,True
area_ciencias_de_la_computacion + sin_recuperacion,no_abierto_siguiente,2,1,0.08730741012472487,1.0,1.6451418225709113,0.08730741012472487,0.6078503301540719,0.0342375720555139,True
aprobo + area_ciencias_de_la_computacion,no_abierto_siguiente,2,1,0.08290535583272193,1.0,1.6451418225709113,0.08290535583272193,0.6078503301540719,0.0325113079182611,True
bloqueo_medio + semestre_2,no_abierto_siguiente,2,1,0.08143800440205429,1.0,1.6451418225709113,0.08143800440205429,0.6078503301540719,0.03193588653917683,True
area_ciencias_de_la_computacion + bloqueo_medio,no_abierto_siguiente,2,1,0.08070432868672046,1.0,1.6451418225709113,0.08070432868672046,0.6078503301540719,0.0316481758496347,True
bloqueo_alto + requiere_laboratorio,no_abierto_siguiente,2,1,0.07740278796771827,1.0,1.6451418225709113,0.07740278796771827,0.6078503301540719,0.0303534777466951,True
curso_no_base + semestre_2,no_abierto_siguiente,2,1,0.07300073367571533,1.0,1.6451418225709113,0.07300073367571533,0.6078503301540719,0.028627213609442294,True
area_ciencias_de_la_computacion + no_requiere_laboratorio,no_abierto_siguiente,2,1,0.0722670579603815,1.0,1.6451418225709113,0.0722670579603815,0.6078503301540719,0.02833950291990016,True
area_desarrollo_de_software + requiere_laboratorio,no_abierto_siguiente,2,1,0.0719002201027146,1.0,1.6451418225709113,0.0719002201027146,0.6078503301540719,0.028195647575129094,True
area_ciencias_de_la_computacion + curso_base,no_abierto_siguiente,2,1,0.07043286867204696,1.0,1.6451418225709113,0.07043286867204696,0.6078503301540719,0.02762022619604483,True
bloqueo_bajo + ocupacion_media,no_abierto_siguiente,2,1,0.0685986793837124,1.0,1.6451418225709113,0.0685986793837124,0.6078503301540719,0.026900949472189496,True
periodo_v2,no_abierto_siguiente,1,1,0.06823184152604549,1.0,1.6451418225709113,0.06823184152604549,0.6078503301540719,0.026757094127418425,True
periodo_v2 + sin_recuperacion,no_abierto_siguiente,2,1,0.06823184152604549,1.0,1.6451418225709113,0.06823184152604549,0.6078503301540719,0.026757094127418425,True
area_desarrollo_de_software + bloqueo_alto,no_abierto_siguiente,2,1,0.06676449009537784,1.0,1.6451418225709113,0.06676449009537784,0.6078503301540719,0.02618167274833416,True
curso_obligatorio + semestre_7,no_abierto_siguiente,2,1,0.0652971386647102,1.0,1.6451418225709113,0.0652971386647102,0.6078503301540719,0.02560625136924989,True
ocupacion_media + semestre_7,no_abierto_siguiente,2,1,0.0652971386647102,1.0,1.6451418225709113,0.0652971386647102,0.6078503301540719,0.02560625136924989,True
area_desarrollo_de_software + periodo_s1,no_abierto_siguiente,2,1,0.06419662509170947,1.0,1.6451418225709113,0.06419662509170947,0.6078503301540719,0.02517468533493669,True
periodo_s1 + semestre_7,no_abierto_siguiente,2,1,0.061628760088041086,1.0,1.6451418225709113,0.061628760088041086,0.6078503301540719,0.024167697921539222,True
