codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,es_curso_base,es_curso_bloqueante,nivel_bloqueo_valor,grupo_area,curso_etiqueta,cluster,pc1,pc2,varianza_pca_2_componentes
28,Social Humanistica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.32,0.24,0.25,8.0,8.0,1,0.2083333333333333,25.0,25.0,0,1,2,Area comun,28 - Social Humanistica 1,0,0.23444593873734174,-0.22061271929966494,0.6665676989297816
94,Ecologia,Ciencias Basicas y Complementarias,No,Si,medio,0.32,0.12,1.0,2.0,2.0,1,0.325,26.0,25.0,0,1,2,Area comun,94 - Ecologia,0,0.25364725751604167,0.011729158161306376,0.6665676989297816
177,Deportes 1,Ciencias Basicas y Complementarias,No,Si,medio,0.2727272727272727,0.0,0.25,3.0,3.0,1,0.1375,11.0,11.0,0,1,2,Area comun,177 - Deportes 1,0,-1.0133827099905752,-0.6050535581765024,0.6665676989297816
216,Quimica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.3555555555555555,0.2666666666666666,0.5,16.0,16.0,1,0.2291666666666666,45.0,45.0,0,1,2,Area comun,216 - Quimica 1,0,1.4022099751226151,0.8454374783388743,0.6665676989297816
674,Matematica Aplicada 3,Ciencias Basicas y Complementarias,No,Si,medio,0.2962962962962963,0.2222222222222222,0.75,3.0,3.0,1,0.4666666666666666,28.0,27.0,0,1,2,Area comun,674 - Matematica Aplicada 3,0,0.5039925478495778,-0.1640493089241428,0.6665676989297816
694,Contabilidad 1,Ciencias Basicas y Complementarias,No,Si,medio,0.28,0.16,0.75,5.0,5.0,1,0.4166666666666667,25.0,25.0,0,1,2,Area comun,694 - Contabilidad 1,0,0.38191714252740416,-0.0185538456056659,0.6665676989297816
779,Contabilidad 2,Ciencias Basicas y Complementarias,No,Si,medio,0.25,0.25,0.5,1.0,1.0,1,0.1,4.0,4.0,0,1,2,Area comun,779 - Contabilidad 2,0,-0.5814103313810114,-0.9386822758352023,0.6665676989297816
2667,Tecnicas de Investigacion y Estudio,Ciencias Basicas y Complementarias,No,Si,medio,0.238095238095238,0.238095238095238,0.5,20.0,20.0,1,0.625,90.0,84.0,0,1,2,Area comun,2667 - Tecnicas de Investigacion y Estudio,0,2.3946539588995996,1.8299093989547788,0.6665676989297816
2810,Organizacion de Lenguajes y Compiladores 2,Ciencias de la Computacion,No,Si,medio,0.2307692307692307,0.3846153846153846,0.25,3.0,3.0,1,0.5333333333333333,16.0,15.0,0,1,2,Area profesional,2810 - Organizacion de Lenguajes y Compiladores 2,0,0.2766504486794085,-0.9041149861532088,0.6665676989297816
2816,Redes de Computadoras 1,Ciencias de la Computacion,No,Si,medio,0.4166666666666667,0.2222222222222222,0.5,15.0,15.0,1,0.6,39.0,36.0,0,1,2,Area profesional,2816 - Redes de Computadoras 1,0,1.6706913736771587,0.7220583902362073,0.6665676989297816
2820,Redes de Computadoras 2,Ciencias de la Computacion,No,Si,medio,0.3529411764705882,0.1764705882352941,0.25,6.0,6.0,1,0.6,18.0,17.0,0,1,2,Area profesional,2820 - Redes de Computadoras 2,0,0.35895676557329675,-0.4072220437703421,0.6665676989297816
2826,Inteligencia Artificial 1,Ciencias de la Computacion,No,Si,medio,0.2307692307692307,0.3076923076923077,0.25,3.0,3.0,1,0.65,13.0,13.0,0,1,2,Area profesional,2826 - Inteligencia Artificial 1,0,0.20229192321474046,-0.8724641881771362,0.6665676989297816
2823,Seminario de Sistemas 1,Desarrollo de Software,No,Si,medio,0.2857142857142857,0.2142857142857142,0.25,4.0,4.0,1,0.5666666666666667,17.0,14.0,0,1,2,Area profesional,2823 - Seminario de Sistemas 1,0,0.10834334335038681,-0.6481046622888671,0.6665676989297816
2828,Seminario de Sistemas 2,Desarrollo de Software,No,Si,medio,0.4,0.0,0.25,2.0,2.0,1,0.35,7.0,7.0,0,1,2,Area profesional,2828 - Seminario de Sistemas 2,0,-0.6473696531493908,-0.6811313945377317,0.6665676989297816
2818,Practica Intemedia TI,EPS,No,Si,medio,0.2962962962962963,0.2592592592592592,0.25,8.0,8.0,1,0.6222222222222222,28.0,27.0,0,1,2,Area profesional,2818 - Practica Intemedia TI,0,0.7324202302633682,-0.19951798936571447,0.6665676989297816
795,Investigacion de Operaciones 2,Metodologia de Sistemas,No,Si,medio,0.2272727272727272,0.1818181818181818,0.5,5.0,5.0,1,0.6,24.0,22.0,0,1,2,Area profesional,795 - Investigacion de Operaciones 2,0,0.3183843284471902,-0.26992404483860605,0.6665676989297816
2825,Sistemas Organizacionales y Gerenciales 1,Metodologia de Sistemas,No,Si,medio,0.2142857142857142,0.2857142857142857,0.25,3.0,3.0,1,0.75,15.0,14.0,0,1,2,Area profesional,2825 - Sistemas Organizacionales y Gerenciales 1,0,0.2535569958662479,-0.8317099683862312,0.6665676989297816
904,Matematica Aplicada 2,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,904 - Matematica Aplicada 2,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
905,Matematica Aplicada 4,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,905 - Matematica Aplicada 4,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
922,Ingenieria Economica 2,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,922 - Ingenieria Economica 2,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2670,Gestion de Desastres,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,2670 - Gestion de Desastres,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2672,Introduccion a la Evaluacion de Impacto Ambiental,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,2672 - Introduccion a la Evaluacion de Impacto Ambiental,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2792,Idioma Tecnico 1,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,2,Area comun,2792 - Idioma Tecnico 1,1,-2.2481644436390207,-1.3062683563865998,0.6665676989297816
2793,Idioma Tecnico 2,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,2,Area comun,2793 - Idioma Tecnico 2,1,-2.2481644436390207,-1.3062683563865998,0.6665676989297816
2794,Idioma Tecnico 3,Ciencias Basicas y Complementarias,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,2,Area comun,2794 - Idioma Tecnico 3,1,-2.2481644436390207,-1.3062683563865998,0.6665676989297816
2801,Idioma Tecnico 4,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,2801 - Idioma Tecnico 4,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2806,Principios De Metrologia,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,2806 - Principios De Metrologia,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2842,Seminario de Investigacion EPS,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area comun,2842 - Seminario de Investigacion EPS,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2831,Seguridad y Auditorias de Redes,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2831 - Seguridad y Auditorias de Redes,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2838,Inteligencia Artificial 2,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2838 - Inteligencia Artificial 2,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2839,Redes de Nueva Generacion,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2839 - Redes de Nueva Generacion,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2832,Sistemas Aplicados 1,Desarrollo de Software,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,2,Area profesional,2832 - Sistemas Aplicados 1,1,-2.2481644436390207,-1.3062683563865998,0.6665676989297816
2833,Bases de Datos Avanzadas,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2833 - Bases de Datos Avanzadas,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2840,Sistemas Aplicados 2,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2840 - Sistemas Aplicados 2,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2841,Auditoria de Proyectos de Software,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2841 - Auditoria de Proyectos de Software,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
2824,Modelacion y Simulacion 1,Metodologia de Sistemas,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,2,Area profesional,2824 - Modelacion y Simulacion 1,1,-2.2481644436390207,-1.3062683563865998,0.6665676989297816
2830,Emprendedores de Negocios Informaticos,Metodologia de Sistemas,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,Area profesional,2830 - Emprendedores de Negocios Informaticos,1,-3.5451184520679613,0.2357843237916572,0.6665676989297816
146,Fisica 1,Ciencias Basicas y Complementarias,No,Si,medio,0.3302752293577982,0.1559633027522936,1.0,7.0,7.0,1,0.5889194139194139,119.0,109.0,0,1,2,Area comun,146 - Fisica 1,2,2.1823621150258896,1.868522113652602,0.6665676989297816
147,Fisica 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.3364485981308411,0.1962616822429906,1.0,6.0,6.0,3,0.6488461538461539,112.0,107.0,1,1,2,Area comun,147 - Fisica 2,2,3.2525834112618934,0.5747027516001725,0.6665676989297816
169,Matematica Basica 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.2911877394636015,0.1570881226053639,1.0,11.0,11.0,2,0.6715832943743182,269.0,261.0,1,1,2,Area comun,169 - Matematica Basica 1,2,5.319471727223733,3.86018602306702,0.6665676989297816
170,Matematica Basica 2,Ciencias Basicas y Complementarias,Si,Si,alto,0.2896551724137931,0.1586206896551724,1.0,8.0,8.0,6,0.6697916666666667,151.0,145.0,1,1,3,Area comun,170 - Matematica Basica 2,2,4.886089736142353,0.1826820606251411,0.6665676989297816
290,Matematica Intermedia 1,Ciencias Basicas y Complementarias,Si,Si,alto,0.3033175355450237,0.1943127962085308,1.0,9.0,9.0,5,0.6677692307692308,222.0,211.0,1,1,3,Area comun,290 - Matematica Intermedia 1,2,5.767547660468896,1.635164209844666,0.6665676989297816
291,Matematica Intermedia 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.273972602739726,0.1780821917808219,1.0,4.0,4.0,2,0.565,77.0,73.0,1,1,2,Area comun,291 - Matematica Intermedia 2,2,2.1874812847272147,0.04547063881040094,0.6665676989297816
292,Matematica Intermedia 3,Ciencias Basicas y Complementarias,Si,Si,medio,0.2903225806451613,0.1451612903225806,1.0,3.0,3.0,3,0.54375,67.0,62.0,1,1,2,Area comun,292 - Matematica Intermedia 3,2,2.118488560931605,-0.38940818870331706,0.6665676989297816
