codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,curso_etiqueta
2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,Si,Si,4,alto,True,False,True,False,2,0.5,oferta_semestral,157.0,147.0,62.0,46.0,0.4305555555555556,0.3194444444444444,62.0,62.0,0.9783333333333332,Area profesional,2796 - Introduccion a la Programacion y Computacion 1
72,Fisica Basica,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,110.0,106.0,30.0,27.0,0.2830188679245283,0.2547169811320754,30.0,30.0,0.6547368421052631,Area comun,72 - Fisica Basica
2667,Tecnicas de Investigacion y Estudio,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,90.0,84.0,20.0,20.0,0.238095238095238,0.238095238095238,20.0,20.0,0.625,Area comun,2667 - Tecnicas de Investigacion y Estudio
216,Quimica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,45.0,45.0,16.0,12.0,0.3555555555555555,0.2666666666666666,16.0,16.0,0.2291666666666666,Area comun,216 - Quimica 1
2816,Redes de Computadoras 1,7,Ciencias de la Computacion,No,Si,1,medio,True,False,False,True,2,0.5,oferta_mixta,39.0,36.0,15.0,8.0,0.4166666666666667,0.2222222222222222,15.0,15.0,0.6,Area profesional,2816 - Redes de Computadoras 1
2798,Lenguajes Formales y de Programacion,4,Ciencias de la Computacion,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,36.0,34.0,13.0,12.0,0.3823529411764705,0.3529411764705882,13.0,13.0,0.8,Area profesional,2798 - Lenguajes Formales y de Programacion
2800,Introduccion a la Programacion y Computacion 2,4,Desarrollo de Software,Si,Si,5,alto,True,False,True,False,2,0.5,oferta_semestral,40.0,35.0,13.0,11.0,0.3939393939393939,0.3333333333333333,13.0,13.0,0.6666666666666666,Area profesional,2800 - Introduccion a la Programacion y Computacion 2
2795,Matematica de Computo 1,3,Ciencias de la Computacion,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,50.0,49.0,12.0,10.0,0.2448979591836734,0.2040816326530612,12.0,12.0,0.8333333333333334,Area profesional,2795 - Matematica de Computo 1
2797,Logica de Sistemas,3,Metodologia de Sistemas,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,48.0,46.0,12.0,11.0,0.2608695652173913,0.2391304347826087,12.0,12.0,0.8,Area profesional,2797 - Logica de Sistemas
2817,Sistemas de Bases de Datos 1,7,Desarrollo de Software,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,30.0,28.0,11.0,10.0,0.3928571428571428,0.3571428571428571,11.0,11.0,0.6666666666666666,Area profesional,2817 - Sistemas de Bases de Datos 1
2814,Sistemas Operativos 1,7,Ciencias de la Computacion,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,27.0,26.0,10.0,6.0,0.3846153846153846,0.2307692307692307,10.0,10.0,0.6,Area profesional,2814 - Sistemas Operativos 1
28,Social Humanistica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,25.0,25.0,8.0,6.0,0.32,0.24,8.0,8.0,0.2083333333333333,Area comun,28 - Social Humanistica 1
29,Social Humanistica 2,2,Ciencias Basicas y Complementarias,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,35.0,32.0,8.0,6.0,0.25,0.1875,8.0,8.0,0.4375,Area comun,29 - Social Humanistica 2
2799,Matematica de Computo 2,4,Ciencias de la Computacion,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,32.0,30.0,8.0,7.0,0.2666666666666666,0.2333333333333333,8.0,8.0,0.7111111111111111,Area profesional,2799 - Matematica de Computo 2
2818,Practica Intemedia TI,7,EPS,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,28.0,27.0,8.0,7.0,0.2962962962962963,0.2592592592592592,8.0,8.0,0.6222222222222222,Area profesional,2818 - Practica Intemedia TI
2803,Organizacion de Lenguajes y Compiladores 1,5,Ciencias de la Computacion,Si,Si,5,alto,True,False,True,False,2,0.5,oferta_semestral,31.0,29.0,8.0,12.0,0.2962962962962963,0.4444444444444444,8.0,8.0,0.6416666666666666,Area profesional,2803 - Organizacion de Lenguajes y Compiladores 1
2802,Analisis Probabilistico,5,Metodologia de Sistemas,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,26.0,25.0,7.0,5.0,0.28,0.2,7.0,7.0,0.5777777777777777,Area profesional,2802 - Analisis Probabilistico
