codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,estudiantes_con_acta_ordinaria,perdida_definitiva,estudiantes_recuperacion,aprobados_recuperacion,estudiantes_en_riesgo_retraso_curricular,curso_etiqueta,tasa_perdida_definitiva,tasa_recuperacion,rank_criticidad_descriptiva
2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,Si,Si,4,alto,True,False,True,False,2,0.5,oferta_semestral,157.0,147.0,62.0,46.0,0.4305555555555556,0.3194444444444444,62.0,62.0,0.9783333333333332,Area profesional,144.0,62.0,46.0,19.0,62.0,2796 - Introduccion a la Programacion y Computacion 1,0.4305555555555556,0.3194444444444444,31.0
2816,Redes de Computadoras 1,7,Ciencias de la Computacion,No,Si,1,medio,True,False,False,True,2,0.5,oferta_mixta,39.0,36.0,15.0,8.0,0.4166666666666667,0.2222222222222222,15.0,15.0,0.6,Area profesional,36.0,15.0,8.0,3.0,15.0,2816 - Redes de Computadoras 1,0.4166666666666667,0.2222222222222222,7.5
2821,Sistemas de Bases de Datos 2,8,Desarrollo de Software,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,11.0,10.0,4.0,3.0,0.4,0.3,4.0,4.0,0.55,Area profesional,10.0,4.0,3.0,1.0,4.0,2821 - Sistemas de Bases de Datos 2,0.4,0.3,3.0000000000000004
950,Estadistica 2,7,Metodologia de Sistemas,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,10.0,10.0,4.0,1.0,0.4,0.1,4.0,0.0,0.25,Area profesional,10.0,4.0,1.0,0.0,0.0,950 - Estadistica 2,0.4,0.1,2.0
2800,Introduccion a la Programacion y Computacion 2,4,Desarrollo de Software,Si,Si,5,alto,True,False,True,False,2,0.5,oferta_semestral,40.0,35.0,13.0,11.0,0.3939393939393939,0.3333333333333333,13.0,13.0,0.6666666666666666,Area profesional,33.0,13.0,11.0,5.0,13.0,2800 - Introduccion a la Programacion y Computacion 2,0.3939393939393939,0.3333333333333333,6.5
2817,Sistemas de Bases de Datos 1,7,Desarrollo de Software,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,30.0,28.0,11.0,10.0,0.3928571428571428,0.3571428571428571,11.0,11.0,0.6666666666666666,Area profesional,28.0,11.0,10.0,3.0,11.0,2817 - Sistemas de Bases de Datos 1,0.39285714285714285,0.35714285714285715,8.25
2805,Estructura de Datos,5,Desarrollo de Software,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,19.0,18.0,7.0,4.0,0.3888888888888889,0.2222222222222222,7.0,7.0,0.6333333333333333,Area profesional,18.0,7.0,4.0,2.0,7.0,2805 - Estructura de Datos,0.3888888888888889,0.2222222222222222,5.25
2814,Sistemas Operativos 1,7,Ciencias de la Computacion,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,27.0,26.0,10.0,6.0,0.3846153846153846,0.2307692307692307,10.0,10.0,0.6,Area profesional,26.0,10.0,6.0,3.0,10.0,2814 - Sistemas Operativos 1,0.38461538461538464,0.23076923076923078,7.500000000000001
2798,Lenguajes Formales y de Programacion,4,Ciencias de la Computacion,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,36.0,34.0,13.0,12.0,0.3823529411764705,0.3529411764705882,13.0,13.0,0.8,Area profesional,34.0,13.0,12.0,4.0,13.0,2798 - Lenguajes Formales y de Programacion,0.38235294117647056,0.35294117647058826,9.75
2819,Sistemas Operativos 2,8,Ciencias de la Computacion,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,26.0,24.0,9.0,9.0,0.375,0.375,9.0,0.0,0.5777777777777777,Area profesional,24.0,9.0,9.0,3.0,0.0,2819 - Sistemas Operativos 2,0.375,0.375,6.75
