grupo_area,area_academica,codigo_curso,nombre_curso,curso_etiqueta,semestre_pensum,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,perdidas_definitivas,perdidas_con_oferta_posterior_2024,recursamientos_observables,recursamientos_con_resultado,aprobaciones_posteriores,perdidas_sin_oferta_posterior_2024,tasa_perdidas_con_oferta_posterior,tasa_perdidas_sin_oferta_posterior,tasa_recursamiento_observable,tasa_aprobacion_al_recursar,tasa_aprobacion_posterior_sobre_perdidas
Area profesional,Desarrollo de Software,2796,Introduccion a la Programacion y Computacion 1,2796 - Introduccion a la Programacion y Computacion 1,3,Si,4,alto,62,37,37,37,16,25,0.5967741935483871,0.4032258064516129,0.5967741935483871,0.43243243243243246,0.25806451612903225
Area profesional,Ciencias de la Computacion,2798,Lenguajes Formales y de Programacion,2798 - Lenguajes Formales y de Programacion,4,Si,3,medio,13,0,0,0,0,13,0.0,1.0,0.0,,0.0
Area profesional,Ciencias de la Computacion,2795,Matematica de Computo 1,2795 - Matematica de Computo 1,3,Si,3,medio,12,0,0,0,0,12,0.0,1.0,0.0,,0.0
Area profesional,Metodologia de Sistemas,2797,Logica de Sistemas,2797 - Logica de Sistemas,3,Si,3,medio,12,0,0,0,0,12,0.0,1.0,0.0,,0.0
Area profesional,Desarrollo de Software,2817,Sistemas de Bases de Datos 1,2817 - Sistemas de Bases de Datos 1,7,Si,2,medio,11,0,0,0,0,11,0.0,1.0,0.0,,0.0
Area profesional,Ciencias de la Computacion,2814,Sistemas Operativos 1,2814 - Sistemas Operativos 1,7,Si,2,medio,10,0,0,0,0,10,0.0,1.0,0.0,,0.0
Area profesional,Ciencias de la Computacion,2819,Sistemas Operativos 2,2819 - Sistemas Operativos 2,8,No,0,bajo,9,0,0,0,0,9,0.0,1.0,0.0,,0.0
Area profesional,Ciencias de la Computacion,2799,Matematica de Computo 2,2799 - Matematica de Computo 2,4,Si,3,medio,8,0,0,0,0,8,0.0,1.0,0.0,,0.0
Area profesional,EPS,2818,Practica Intemedia TI,2818 - Practica Intemedia TI,7,Si,1,medio,8,0,0,0,0,8,0.0,1.0,0.0,,0.0
Area profesional,Ciencias de la Computacion,2811,Arquitectura de Computadores y Ensambladores 1,2811 - Arquitectura de Computadores y Ensambladores 1,6,Si,5,alto,7,0,0,0,0,7,0.0,1.0,0.0,,0.0
Area profesional,Desarrollo de Software,2805,Estructura de Datos,2805 - Estructura de Datos,5,Si,3,medio,7,0,0,0,0,7,0.0,1.0,0.0,,0.0
Area profesional,Metodologia de Sistemas,2802,Analisis Probabilistico,2802 - Analisis Probabilistico,5,Si,2,medio,7,0,0,0,0,7,0.0,1.0,0.0,,0.0
