grupo_area,area_academica,codigo_curso,nombre_curso,curso_etiqueta,semestre_pensum,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,perdidas_definitivas,perdidas_con_oferta_posterior_2024,recursamientos_observables,recursamientos_con_resultado,aprobaciones_posteriores,perdidas_sin_oferta_posterior_2024,tasa_perdidas_con_oferta_posterior,tasa_perdidas_sin_oferta_posterior,tasa_recursamiento_observable,tasa_aprobacion_al_recursar,tasa_aprobacion_posterior_sobre_perdidas
Area comun,Ciencias Basicas y Complementarias,72,Fisica Basica,72 - Fisica Basica,2,Si,1,medio,30,15,15,15,10,15,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333
Area comun,Ciencias Basicas y Complementarias,2667,Tecnicas de Investigacion y Estudio,2667 - Tecnicas de Investigacion y Estudio,2,Si,1,medio,20,10,10,10,6,10,0.5,0.5,0.5,0.6,0.3
Area comun,Ciencias Basicas y Complementarias,119,Tecnica Complementaria 1,119 - Tecnica Complementaria 1,1,No,0,bajo,10,0,0,0,0,10,0.0,1.0,0.0,,0.0
Area comun,Ciencias Basicas y Complementarias,28,Social Humanistica 1,28 - Social Humanistica 1,1,Si,1,medio,8,0,0,0,0,8,0.0,1.0,0.0,,0.0
Area comun,Ciencias Basicas y Complementarias,29,Social Humanistica 2,29 - Social Humanistica 2,2,Si,2,medio,8,0,0,0,0,8,0.0,1.0,0.0,,0.0
Area comun,Ciencias Basicas y Complementarias,85,Logica,85 - Logica,4,No,0,bajo,20,13,12,12,7,7,0.65,0.35,0.6,0.5833333333333334,0.35
Area comun,Ciencias Basicas y Complementarias,216,Quimica 1,216 - Quimica 1,1,Si,1,medio,16,9,9,9,5,7,0.5625,0.4375,0.5625,0.5555555555555556,0.3125
Area comun,Ciencias Basicas y Complementarias,2837,Seminario de Investigacion,2837 - Seminario de Investigacion,10,No,0,bajo,7,3,3,3,2,4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.2857142857142857
Area comun,Ciencias Basicas y Complementarias,2666,Orientacion y Liderazgo,2666 - Orientacion y Liderazgo,1,No,0,bajo,9,6,6,6,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333
Area comun,Ciencias Basicas y Complementarias,674,Matematica Aplicada 3,674 - Matematica Aplicada 3,5,Si,1,medio,8,5,5,5,1,3,0.625,0.375,0.625,0.2,0.125
Area comun,Ciencias Basicas y Complementarias,77,Filosofia de la Ciencia,77 - Filosofia de la Ciencia,5,No,0,bajo,3,0,0,0,0,3,0.0,1.0,0.0,,0.0
Area comun,Ciencias Basicas y Complementarias,177,Deportes 1,177 - Deportes 1,1,Si,1,medio,3,0,0,0,0,3,0.0,1.0,0.0,,0.0
Area comun,Ciencias Basicas y Complementarias,178,Deportes 2,178 - Deportes 2,2,No,0,bajo,3,0,0,0,0,3,0.0,1.0,0.0,,0.0
