codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,estudiantes_con_acta_ordinaria,perdida_definitiva,estudiantes_recuperacion,aprobados_recuperacion,estudiantes_en_riesgo_retraso_curricular,curso_etiqueta,tasa_perdida_definitiva,tasa_recuperacion,rank_criticidad_descriptiva
28,Social Humanistica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,25.0,25.0,8.0,6.0,0.32,0.24,8.0,8.0,0.2083333333333333,Area comun,25.0,8.0,6.0,1.0,8.0,28 - Social Humanistica 1,0.32,0.24,6.0
119,Tecnica Complementaria 1,1,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,36.0,36.0,10.0,11.0,0.2777777777777778,0.3055555555555556,10.0,0.0,0.36,Area comun,36.0,10.0,11.0,3.0,0.0,119 - Tecnica Complementaria 1,0.2777777777777778,0.3055555555555556,7.5
169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,269.0,261.0,76.0,41.0,0.2911877394636015,0.1570881226053639,11.0,11.0,0.6715832943743182,Area comun,261.0,76.0,41.0,20.0,11.0,169 - Matematica Basica 1,0.29118773946360155,0.15708812260536398,0.0
177,Deportes 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,11.0,11.0,3.0,0.0,0.2727272727272727,0.0,3.0,3.0,0.1375,Area comun,11.0,3.0,0.0,0.0,3.0,177 - Deportes 1,0.2727272727272727,0.0,2.25
216,Quimica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,45.0,45.0,16.0,12.0,0.3555555555555555,0.2666666666666666,16.0,16.0,0.2291666666666666,Area comun,45.0,16.0,12.0,2.0,16.0,216 - Quimica 1,0.35555555555555557,0.26666666666666666,8.0
2666,Orientacion y Liderazgo,1,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,30.0,30.0,9.0,7.0,0.3,0.2333333333333333,9.0,0.0,0.35,Area comun,30.0,9.0,7.0,1.0,0.0,2666 - Orientacion y Liderazgo,0.3,0.23333333333333334,4.5
2792,Idioma Tecnico 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2792 - Idioma Tecnico 1,,,0.0
29,Social Humanistica 2,2,Ciencias Basicas y Complementarias,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,35.0,32.0,8.0,6.0,0.25,0.1875,8.0,8.0,0.4375,Area comun,32.0,8.0,6.0,3.0,8.0,29 - Social Humanistica 2,0.25,0.1875,6.0
72,Fisica Basica,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,110.0,106.0,30.0,27.0,0.2830188679245283,0.2547169811320754,30.0,30.0,0.6547368421052631,Area comun,106.0,30.0,27.0,12.0,30.0,72 - Fisica Basica,0.2830188679245283,0.25471698113207547,15.0
170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,Si,Si,6,alto,True,True,True,True,4,1.0,oferta_continua,151.0,145.0,42.0,23.0,0.2896551724137931,0.1586206896551724,8.0,8.0,0.6697916666666667,Area comun,145.0,42.0,23.0,13.0,8.0,170 - Matematica Basica 2,0.2896551724137931,0.15862068965517243,0.0
