semestre_pensum,registros_modelables,estudiantes_en_riesgo_retraso_curricular,estudiantes_en_riesgo_retraso_amplio,perdida_definitiva,necesidad_recuperacion,tasa_riesgo_retraso_curricular,tasa_riesgo_retraso_amplio,tasa_perdida_definitiva
1,408,38,57,122,77,0.09313725490196079,0.13970588235294118,0.29901960784313725
2,376,66,69,103,78,0.17553191489361702,0.18351063829787234,0.27393617021276595
3,562,102,102,186,125,0.18149466192170818,0.18149466192170818,0.3309608540925267
4,485,54,74,148,107,0.11134020618556702,0.15257731958762888,0.30515463917525776
5,233,40,48,68,51,0.17167381974248927,0.20600858369098712,0.2918454935622318
6,146,23,33,38,33,0.15753424657534246,0.22602739726027396,0.2602739726027397
7,210,56,68,70,47,0.26666666666666666,0.3238095238095238,0.3333333333333333
8,150,21,30,47,34,0.14,0.2,0.31333333333333335
9,71,11,19,19,16,0.15492957746478872,0.2676056338028169,0.2676056338028169
10,85,0,19,26,11,0.0,0.2235294117647059,0.3058823529411765
