codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,estudiantes_con_acta_ordinaria,perdida_definitiva,estudiantes_recuperacion,aprobados_recuperacion,estudiantes_en_riesgo_retraso_curricular,curso_etiqueta,tasa_perdida_definitiva,tasa_recuperacion,rank_criticidad_descriptiva
169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,269.0,261.0,76.0,41.0,0.2911877394636015,0.1570881226053639,11.0,11.0,0.6715832943743182,Area comun,261.0,76.0,41.0,20.0,11.0,169 - Matematica Basica 1,0.29118773946360155,0.15708812260536398,0.0
290,Matematica Intermedia 1,3,Ciencias Basicas y Complementarias,Si,Si,5,alto,True,True,True,True,4,1.0,oferta_continua,222.0,211.0,64.0,41.0,0.3033175355450237,0.1943127962085308,9.0,9.0,0.6677692307692308,Area comun,211.0,64.0,41.0,18.0,9.0,290 - Matematica Intermedia 1,0.3033175355450237,0.1943127962085308,0.0
2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,Si,Si,4,alto,True,False,True,False,2,0.5,oferta_semestral,157.0,147.0,62.0,46.0,0.4305555555555556,0.3194444444444444,62.0,62.0,0.9783333333333332,Area profesional,144.0,62.0,46.0,19.0,62.0,2796 - Introduccion a la Programacion y Computacion 1,0.4305555555555556,0.3194444444444444,31.0
170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,Si,Si,6,alto,True,True,True,True,4,1.0,oferta_continua,151.0,145.0,42.0,23.0,0.2896551724137931,0.1586206896551724,8.0,8.0,0.6697916666666667,Area comun,145.0,42.0,23.0,13.0,8.0,170 - Matematica Basica 2,0.2896551724137931,0.15862068965517243,0.0
147,Fisica 2,4,Ciencias Basicas y Complementarias,Si,Si,3,medio,True,True,True,True,4,1.0,oferta_continua,112.0,107.0,36.0,21.0,0.3364485981308411,0.1962616822429906,6.0,6.0,0.6488461538461539,Area comun,107.0,36.0,21.0,8.0,6.0,147 - Fisica 2,0.3364485981308411,0.19626168224299065,0.0
146,Fisica 1,3,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,True,4,1.0,oferta_continua,119.0,109.0,36.0,17.0,0.3302752293577982,0.1559633027522936,7.0,7.0,0.5889194139194139,Area comun,109.0,36.0,17.0,9.0,7.0,146 - Fisica 1,0.3302752293577982,0.1559633027522936,0.0
72,Fisica Basica,2,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,110.0,106.0,30.0,27.0,0.2830188679245283,0.2547169811320754,30.0,30.0,0.6547368421052631,Area comun,106.0,30.0,27.0,12.0,30.0,72 - Fisica Basica,0.2830188679245283,0.25471698113207547,15.0
949,Estadistica 1,4,Metodologia de Sistemas,Si,Si,6,alto,True,True,True,False,3,0.75,oferta_continua,69.0,66.0,20.0,16.0,0.303030303030303,0.2424242424242424,7.0,7.0,0.6014814814814815,Area profesional,66.0,20.0,16.0,6.0,7.0,949 - Estadistica 1,0.30303030303030304,0.24242424242424243,5.0
291,Matematica Intermedia 2,4,Ciencias Basicas y Complementarias,Si,Si,2,medio,True,True,True,True,4,1.0,oferta_continua,77.0,73.0,20.0,13.0,0.273972602739726,0.1780821917808219,4.0,4.0,0.565,Area comun,73.0,20.0,13.0,6.0,4.0,291 - Matematica Intermedia 2,0.273972602739726,0.1780821917808219,0.0
85,Logica,4,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,82.0,78.0,20.0,18.0,0.2564102564102564,0.2307692307692307,20.0,0.0,0.7264957264957266,Area comun,78.0,20.0,18.0,9.0,0.0,85 - Logica,0.2564102564102564,0.23076923076923078,10.0
