modelo,modelo_nombre,target,target_descripcion,n_train,n_test,positivos_train,positivos_test,prevalencia_test,accuracy,precision,recall,f1,roc_auc,average_precision,estratificado
logistic_regression,Regresion logistica,necesito_recuperacion,Necesidad observada de recuperacion,2044,682,434,145,0.2126099706744868,0.6451612903225806,0.3333333333333333,0.6689655172413793,0.4449541284403669,0.7428048545559622,0.4059536583948703,True
logistic_regression,Regresion logistica,perdida_definitiva,Perdida definitiva observada,2044,682,620,207,0.3035190615835777,0.6334310850439883,0.4276094276094276,0.6135265700483091,0.503968253968254,0.7005034324942793,0.497070107802135,True
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,2044,682,308,103,0.1510263929618768,0.7668621700879765,0.3813559322033898,0.8737864077669902,0.5309734513274337,0.8809296242265707,0.5161258556363038,True
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,2044,682,389,130,0.1906158357771261,0.7287390029325513,0.3946360153256705,0.7923076923076923,0.5268542199488491,0.8370540691192865,0.4689422496735605,True
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,2044,682,434,145,0.2126099706744868,0.5703812316715543,0.3271028037383177,0.9655172413793104,0.4886561954624782,0.7393822641751749,0.3513302583364582,True
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,2044,682,620,207,0.3035190615835777,0.7096774193548387,0.5245901639344263,0.463768115942029,0.4923076923076923,0.7373811339944063,0.5189930386363301,True
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,2044,682,308,103,0.1510263929618768,0.7551319648093842,0.372,0.9029126213592232,0.5269121813031161,0.8827321964552207,0.5167527961984988,True
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,2044,682,389,130,0.1906158357771261,0.6964809384164223,0.3737704918032787,0.8769230769230769,0.5241379310344828,0.8249930323299889,0.4708131360687223,True
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,2044,682,434,145,0.2126099706744868,0.6026392961876833,0.3315508021390374,0.8551724137931035,0.47784200385356457,0.704623386630707,0.32524618446163045,True
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,2044,682,620,207,0.3035190615835777,0.5674486803519062,0.3797814207650273,0.6714975845410628,0.4851657940663176,0.6856140350877193,0.4602298187878542,True
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,2044,682,308,103,0.15102639296187684,0.7683284457478006,0.38396624472573837,0.883495145631068,0.5352941176470588,0.8627865251437865,0.48494833560918293,True
random_forest,Random Forest,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,2044,682,389,130,0.1906158357771261,0.7126099706744868,0.3885135135135135,0.8846153846153846,0.539906103286385,0.8070443143812709,0.40048839277723586,True
