variable_transformada,variable,coeficiente,coeficiente_absoluto
cat__patron_oferta_oferta_unica,patron_oferta,-0.22881498456672264,0.22881498456672264
cat__patron_oferta_oferta_semestral,patron_oferta,-0.1758089235543131,0.1758089235543131
cat__patron_oferta_oferta_mixta,patron_oferta,-0.11161471710532085,0.11161471710532085
num__indice_continuidad_oferta_anual,indice_continuidad_oferta_anual,-0.10623255906716372,0.10623255906716372
num__cupo_total_ofertado,cupo_total_ofertado,0.09847907743957057,0.09847907743957057
cat__periodo_academico_V1,periodo_academico,0.09661541095045446,0.09661541095045446
cat__area_academica_Desarrollo de Software,area_academica,0.06655081104079985,0.06655081104079985
cat__periodo_academico_S2,periodo_academico,-0.06525503455458467,0.06525503455458467
cat__area_academica_Metodologia de Sistemas,area_academica,-0.06520620180781492,0.06520620180781492
cat__requiere_laboratorio_Si,requiere_laboratorio,0.05235762274519432,0.05235762274519432
num__secciones_abiertas,secciones_abiertas,-0.051484618953725435,0.051484618953725435
num__estudiantes_asignados,estudiantes_asignados,-0.05008155800839037,0.05008155800839037
cat__curso_obligatorio_Si,curso_obligatorio,0.04704231621385004,0.04704231621385004
cat__area_academica_EPS,area_academica,0.043533365169730096,0.043533365169730096
cat__tipo_curso_configurado_practico,tipo_curso_configurado,-0.04138645956599573,0.04138645956599573
num__orden_periodo,orden_periodo,0.04051513783113937,0.04051513783113937
cat__periodo_academico_V2,periodo_academico,0.025314446697930183,0.025314446697930183
cat__area_academica_Ciencias de la Computacion,area_academica,-0.022554534118607562,0.022554534118607562
cat__curso_bloqueante_Si,curso_bloqueante,-0.020470277041484346,0.020470277041484346
cat__nivel_bloqueo_curricular_bajo,nivel_bloqueo_curricular,0.02047027704148425,0.02047027704148425
cat__tipo_curso_configurado_teorico,tipo_curso_configurado,-0.01913304908832811,0.01913304908832811
cat__nivel_bloqueo_curricular_medio,nivel_bloqueo_curricular,-0.009132412384052718,0.009132412384052718
num__tasa_ocupacion_cupo,tasa_ocupacion_cupo,0.0072411117761752835,0.0072411117761752835
cat__curso_base_Si,curso_base,0.0035641373247966212,0.0035641373247966212
num__cantidad_cursos_dependientes,cantidad_cursos_dependientes,0.003184185245068183,0.003184185245068183
num__semestre_pensum,semestre_pensum,-0.0013676432174456847,0.0013676432174456847
num__estudiantes_desasignados,estudiantes_desasignados,-0.00029282591337491154,0.00029282591337491154
