orden_periodo,semestre_pensum,cantidad_cursos_dependientes,secciones_abiertas,cupo_total_ofertado,estudiantes_asignados,estudiantes_desasignados,tasa_ocupacion_cupo,indice_continuidad_oferta_anual,periodo_academico,area_academica,tipo_curso_configurado,requiere_laboratorio,curso_obligatorio,curso_base,curso_bloqueante,nivel_bloqueo_curricular,patron_oferta,valor_real,valor_predicho,residuo
1,7,1,1,45,27,3,0.6,0.5,S1,Ciencias de la Computacion,mixto,Si,Si,No,Si,medio,oferta_mixta,0.375,0.3572652093727503,0.017734790627249697
3,9,0,1,20,12,1,0.6,0.25,S2,Ciencias Basicas y Complementarias,teorico,No,No,No,No,bajo,oferta_unica,0.2727272727272727,0.2506132461890406,0.022114026538232134
3,7,1,1,20,12,2,0.6,0.5,S2,Metodologia de Sistemas,teorico,No,Si,No,Si,medio,oferta_semestral,0.2,0.15587832619262848,0.04412167380737153
1,5,0,1,30,18,0,0.6,0.25,S1,Ciencias de la Computacion,mixto,No,Si,No,No,bajo,oferta_unica,0.2777777777777778,0.29818679067097936,-0.020409012893201572
3,5,1,1,20,10,0,0.5,0.75,S2,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,medio,oferta_continua,0.3,0.3159980056069508,-0.015998005606950805
1,3,3,1,60,48,2,0.8,0.25,S1,Metodologia de Sistemas,mixto,No,Si,Si,Si,medio,oferta_unica,0.2608695652173913,0.23793041537648885,0.02293914984090245
3,8,2,1,20,11,1,0.55,0.25,S2,Desarrollo de Software,mixto,No,Si,Si,Si,medio,oferta_unica,0.4,0.34071640225816424,0.05928359774183578
1,4,5,1,30,21,1,0.7,0.5,S1,Desarrollo de Software,mixto,Si,Si,Si,Si,alto,oferta_semestral,0.35,0.3798886887315316,-0.02988868873153161
1,4,3,2,65,40,4,0.6153846153846154,1.0,S1,Ciencias Basicas y Complementarias,teorico,Si,Si,Si,Si,medio,oferta_continua,0.3055555555555556,0.30719903391911113,-0.0016434783635555505
3,10,0,1,20,14,0,0.7,0.25,S2,Desarrollo de Software,mixto,Si,Si,No,No,bajo,oferta_unica,0.2857142857142857,0.4356438547963557,-0.14992956908207
1,3,1,2,65,42,4,0.6461538461538462,1.0,S1,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,medio,oferta_continua,0.2894736842105263,0.29716046834913357,-0.007686784138607239
1,3,4,1,100,99,9,0.99,0.5,S1,Desarrollo de Software,mixto,Si,Si,Si,Si,alto,oferta_semestral,0.4111111111111111,0.400237592752954,0.010873518358157086
3,6,5,1,30,24,0,0.8,0.25,S2,Ciencias de la Computacion,mixto,No,Si,Si,Si,alto,oferta_unica,0.2916666666666667,0.27715778479097136,0.014508881875695323
1,7,2,1,45,27,1,0.6,0.25,S1,Ciencias de la Computacion,mixto,No,Si,Si,Si,medio,oferta_unica,0.3846153846153846,0.27553881245985656,0.10907657215552802
3,1,1,4,80,20,0,0.25,0.5,S2,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,medio,oferta_semestral,0.35,0.30802940516476907,0.04197059483523091
1,7,1,1,20,12,0,0.6,0.5,S1,Metodologia de Sistemas,teorico,No,Si,No,Si,medio,oferta_semestral,0.25,0.14347480606312102,0.10652519393687898
1,5,2,1,45,26,1,0.5777777777777777,0.25,S1,Metodologia de Sistemas,mixto,No,Si,Si,Si,medio,oferta_unica,0.28,0.23533885454705128,0.04466114545294875
1,4,0,2,65,54,3,0.8307692307692308,0.5,S1,Ciencias Basicas y Complementarias,teorico,No,No,No,No,bajo,oferta_semestral,0.2549019607843137,0.21305322763814571,0.04184873314616799
3,4,3,1,45,32,2,0.7111111111111111,0.25,S2,Ciencias de la Computacion,teorico,No,Si,Si,Si,medio,oferta_unica,0.2666666666666666,0.26543559502926106,0.0012310716374055453
1,1,1,4,80,11,0,0.1375,0.25,S1,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,medio,oferta_unica,0.2727272727272727,0.24216819818712343,0.030559074540149278
1,5,0,1,30,18,3,0.6,0.25,S1,Ciencias Basicas y Complementarias,teorico,No,No,No,No,bajo,oferta_unica,0.2,0.2539412221342703,-0.05394122213427027
4,2,6,1,30,20,0,0.6666666666666666,1.0,V2,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,alto,oferta_continua,0.4,0.39966562264523786,0.0003343773547621609
1,7,0,1,20,13,0,0.65,0.25,S1,Ciencias de la Computacion,mixto,No,Si,No,No,bajo,oferta_unica,0.2307692307692307,0.2828247441610039,-0.052055513391773195
